"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Connor McDavid","19-20","EDM","C",64,1105.37,52.01,48.16,48.28,48.15,48.63,65.27,60.23,580.1,624.34,787.81,843.87,1014.76,1092.91,52.81,55.78,5.04,-44.24,-56.06,-78.15,-2.97,11.25,90.35
"Connor McDavid","20-21","EDM","C",56,958.52,56.1,55.19,54.62,55.24,57.21,65.58,51.32,587.51,477.04,781.92,649.71,1038.67,841.47,52.03,38.92,14.26,110.47,132.21,197.2,13.11,11.16,89.24
"Connor McDavid","21-22","EDM","C",80,1393.78,59.52,57.09,56.7,57.08,58.86,79.79,54.27,926.31,696.13,1232.56,941.13,1613.06,1213.13,87.21,60.96,25.52,230.18,291.43,399.93,26.25,8.61,92.2
"Connor McMichael","21-22","WSH","C",68,700.82,47.74,54.52,53.52,53,57.2,26.59,29.11,385.44,321.5,535.49,464.98,701.2,621.8,32.93,24.64,-2.52,63.94,70.51,79.4,8.29,6.9,90.95
"Connor Murphy","19-20","CHI","D",58,1049.92,46.41,49.92,50.44,50.18,49.07,44.54,51.44,549.79,551.46,730.67,717.97,993.8,986.72,44.69,46.38,-6.9,-1.67,12.7,7.08,-1.69,8.1,90.67
"Connor Murphy","20-21","CHI","D",50,946.32,45.81,47.09,46.53,46.62,46.5,35.46,41.95,429.26,482.41,561.09,644.83,784.28,897.96,35.05,40.33,-6.49,-53.15,-83.74,-113.68,-5.28,8.26,91.3
"Connor Murphy","21-22","CHI","D",57,1063.57,40.24,43.28,43.3,42.47,44.29,36.06,53.55,425.74,557.89,577.88,756.86,807.23,1093.51,32.45,40.81,-17.49,-132.15,-178.98,-286.28,-8.36,8.47,90.4
"Conor Garland","19-20","ARI","R",68,806.18,55.39,51.81,51.31,50.57,52.69,36.43,29.34,468.18,435.51,638.22,605.57,813.94,795.51,33.59,30.16,7.09,32.67,32.65,18.43,3.43,7.78,93.26
"Conor Garland","20-21","ARI","R",49,704.55,52.76,51.98,51.51,51.52,52.39,33.83,30.29,365.32,337.54,511.9,481.98,659.77,620.94,31.28,28.43,3.54,27.78,29.92,38.83,2.85,9.26,91.03
"Conor Garland","21-22","VAN","R",77,1106.1,60.56,54.2,53.32,52.85,54.22,61.29,39.92,640,540.83,856.54,750.02,1122.27,1001.33,51.18,43.22,21.37,99.17,106.52,120.94,7.96,9.58,92.62
"Conor Sheary","19-20","BUF/PIT","L",63,740.8,46.53,51.15,49.12,49.76,49.07,30.78,35.37,376.74,359.85,500.54,518.43,657.86,664.09,28.6,29.68,-4.59,16.89,-17.89,-6.23,-1.08,8.17,90.17
"Conor Sheary","20-21","WSH","L",53,657.8,51.71,54.41,54.62,54.6,54.77,28.53,26.64,337.33,282.67,479.52,398.46,633.35,526.53,25.78,21.29,1.89,54.66,81.06,106.82,4.49,8.46,90.58
"Conor Sheary","21-22","WSH","L",71,915.72,47.5,50.01,50.63,49.83,48.08,39.01,43.12,461.53,461.34,655.52,639.16,852.87,858.53,36.57,39.49,-4.11,0.19,16.36,-5.66,-2.92,8.45,90.65
"Conor Timmins","20-21","COL","D",31,398.87,59.75,56.51,56.9,57.75,58.73,18.05,12.16,209.73,161.44,301.36,228.25,408.02,298.48,19.31,13.57,5.89,48.29,73.11,109.54,5.74,8.61,92.47
"Conor Timmins","21-22","ARI","D",6,95.68,27.52,43.89,49.08,48.79,52.68,3.06,8.06,41.84,53.49,64.44,66.85,82.6,86.69,3.64,3.27,-5,-11.65,-2.41,-4.09,0.37,7.31,84.93
"Corey Perry","19-20","DAL","R",57,642.2,47.82,46.58,46.93,46.53,52.81,21.14,23.07,302.02,346.37,420.8,475.76,564.24,648.41,27.17,24.28,-1.93,-44.35,-54.96,-84.17,2.89,7,93.34
"Corey Perry","20-21","MTL","R",49,549.98,48.48,50.44,49.97,50.73,50.53,15.16,16.11,251.76,247.36,347.27,347.75,478.02,464.26,18.48,18.09,-0.95,4.4,-0.48,13.76,0.39,6.02,93.49
"Corey Perry","21-22","T.B","R",82,931.38,59.82,51.52,51.83,51.62,57.37,37.4,25.12,454.12,427.38,627.36,583.01,817.84,766.36,42.71,31.74,12.28,26.74,44.35,51.48,10.97,8.24,94.12
"Corey Schueneman","21-22","MTL","D",24,361.17,38.96,42.46,44.1,43.94,40.75,9.83,15.4,167.81,227.39,227.82,288.76,302.95,386.59,14.82,21.55,-5.57,-59.58,-60.94,-83.64,-6.73,5.86,93.23
"Craig Smith","19-20","NSH","C",69,761.7,66.91,56.56,56.26,55.15,57.67,46.13,22.81,480.6,369.17,669.39,520.53,850.04,691.33,40.17,29.48,23.32,111.43,148.86,158.71,10.69,9.6,93.82
"Craig Smith","20-21","BOS","C",54,712.58,70.25,57.71,57.56,57.67,55.61,37.83,16.02,422.9,309.87,581.38,428.68,754.56,553.74,29.84,23.82,21.81,113.03,152.7,200.82,6.02,8.95,94.83
"Craig Smith","21-22","BOS","C",74,933.02,55.04,57.85,56.22,55.55,56.82,45.78,37.4,588.33,428.7,764.55,595.35,970.63,776.72,40.1,30.47,8.38,159.63,169.2,193.91,9.63,7.78,91.28
"Curtis Lazar","19-20","BUF","C",38,375.58,38.26,46.44,48.1,46.94,47.73,11.03,17.8,142.26,164.1,206.82,223.2,264.5,299.02,12.39,13.57,-6.77,-21.84,-16.38,-34.52,-1.18,7.75,89.15
"Curtis Lazar","20-21","BOS/BUF","C",50,555.07,41.03,48.43,48.37,47.35,53.45,13.36,19.2,246.4,262.39,343.11,366.24,428.31,476.24,21.2,18.46,-5.84,-15.99,-23.13,-47.93,2.74,5.42,92.68
"Curtis Lazar","21-22","BOS","C",70,711.32,45.67,53.78,52.07,50.76,54.59,21.98,26.15,358.3,307.88,474.88,437.16,602.24,584.2,25.91,21.55,-4.17,50.42,37.72,18.04,4.36,6.13,91.51
"Dakota Joshua","20-21","STL","C",12,104.12,27.44,46.67,40.89,43.88,34.01,1.07,2.83,33.81,38.63,40.82,59.02,59.45,76.03,1.51,2.93,-1.76,-4.82,-18.2,-16.58,-1.42,3.16,92.67
"Dakota Joshua","21-22","STL","C",30,249.93,62.58,57.66,56.09,53.54,61.58,15.07,9.01,140.34,103.07,191.93,150.23,244.99,212.63,12.71,7.93,6.06,37.27,41.7,32.36,4.78,10.74,91.26
"Dakota Mermis","19-20","N.J","D",10,168.47,69.23,52.96,51.05,49.76,57.25,11,4.89,100.81,89.54,130.2,124.82,174.28,175.97,9.95,7.43,6.11,11.27,5.38,-1.69,2.52,10.91,94.54
"Dale Weise","19-20","MTL","R",23,202.3,51.8,49.02,46.36,46.63,46.08,7.77,7.23,100.44,104.46,124.14,143.66,163.69,187.35,7.18,8.4,0.54,-4.02,-19.52,-23.66,-1.22,7.74,93.08
"Damon Severson","19-20","N.J","D",69,1252.2,38.87,48.07,48.34,47.72,48.1,42.03,66.11,617.71,667.24,830.91,888.12,1099,1203.95,49.26,53.15,-24.08,-49.53,-57.21,-104.95,-3.89,6.8,90.09
"Damon Severson","20-21","N.J","D",56,1006.4,46.19,50.24,51.26,52.56,52.25,34.05,39.66,509.83,505.05,705.81,671.03,933.13,842.15,41.79,38.19,-5.61,4.78,34.78,90.98,3.6,6.68,92.15
"Damon Severson","21-22","N.J","D",80,1446.75,46.77,49.88,49.48,50.06,50.37,59.1,67.26,720.49,723.99,1013.08,1034.4,1324.13,1320.87,62.3,61.39,-8.16,-3.5,-21.32,3.26,0.91,8.2,90.71
"Dan Hamhuis","19-20","NSH","D",60,718.87,51.53,51.72,52.19,51.21,49.85,27.5,25.87,350.48,327.17,506.38,463.88,657.98,627,25.64,25.79,1.63,23.31,42.5,30.98,-0.15,7.85,92.09
"Dan Renouf","20-21","COL","D",18,174.8,45.92,56,56.36,55.96,60.36,6.86,8.08,97.78,76.82,129.3,100.1,172.03,135.41,7.98,5.24,-1.22,20.96,29.2,36.62,2.74,7.02,89.48
"Dan Renouf","21-22","DET","D",4,55.27,37.42,46.1,49.87,48.08,41.35,2.9,4.85,25.72,30.07,33.28,33.46,41.24,44.54,1.84,2.61,-1.95,-4.35,-0.18,-3.3,-0.77,11.28,83.87
"Daniel Carr","19-20","NSH","L",11,110.72,30.18,45.82,44.12,43.97,37.4,3.83,8.86,50.27,59.45,66.5,84.21,89.25,113.73,3.13,5.24,-5.03,-9.18,-17.71,-24.48,-2.11,7.62,85.1
"Daniel Carr","20-21","WSH","L",6,60.83,32.01,43.35,41.85,45.65,40.31,1.93,4.1,27.56,36.02,38.23,53.12,52.9,62.99,1.85,2.74,-2.17,-8.46,-14.89,-10.09,-0.89,7,88.62
"Daniel O'Regan","21-22","ANA","C",5,50.28,35.93,36.35,41.21,43.16,29.95,1.06,1.89,18.99,33.25,28.08,40.06,42.4,55.84,1.21,2.83,-0.83,-14.26,-11.98,-13.44,-1.62,5.58,94.32
"Daniel Sprong","19-20","ANA","R",8,98.58,45.14,55.03,57.75,55.64,55.98,3.9,4.74,61.14,49.96,93.79,68.61,115.12,91.79,5.52,4.34,-0.84,11.18,25.18,23.33,1.18,6.38,90.51
"Daniel Sprong","20-21","WSH","R",42,459.3,59.22,49.02,49.83,51.06,48.85,31.48,21.68,222.22,231.07,319.83,322.07,422.57,405.01,17.22,18.03,9.8,-8.85,-2.24,17.56,-0.81,14.17,90.62
"Daniel Sprong","21-22","SEA/WSH","R",63,731.11,57.01,51.91,52.4,51.32,51.58,30.74,23.18,407.5,377.52,580.65,527.52,741.17,702.96,33.72,31.66,7.56,29.98,53.13,38.21,2.06,7.54,93.86
"Daniil Miromanov","21-22","VGK","D",11,104.38,43.93,50.08,50.23,50.71,54.58,3.98,5.08,56.1,55.91,77.33,76.61,108.02,105,5.84,4.86,-1.1,0.19,0.72,3.02,0.98,7.09,90.91
"Danny Dekeyser","19-20","DET","D",8,143.58,40.69,35.26,39.38,39.12,36.66,6.14,8.95,52.03,95.55,79.69,122.69,105.41,164.07,4.3,7.43,-2.81,-43.52,-43,-58.66,-3.13,11.8,90.63
"Danny Dekeyser","20-21","DET","D",47,744.77,49.41,43.66,43.54,42.59,46.68,27.32,27.97,314.34,405.58,433.16,561.63,560.09,755.1,26.66,30.45,-0.65,-91.24,-128.47,-195.01,-3.79,8.69,93.1
"Danny Dekeyser","21-22","DET","D",59,938.22,37.83,44.27,42.67,42.97,43.8,26.83,44.09,437.94,551.38,557.68,749.4,739.34,981.35,35.79,45.92,-17.26,-113.44,-191.72,-242.01,-10.13,6.13,92
"Dante Fabbro","19-20","NSH","D",64,1145.37,45.42,51.32,51.06,50.34,45.51,40.82,49.05,575.04,545.4,804.52,771.25,1053.39,1039.16,37.93,45.42,-8.23,29.64,33.27,14.23,-7.49,7.1,91.01
"Dante Fabbro","20-21","NSH","D",40,688.98,49.11,49.86,51.74,49.81,51.03,21.27,22.04,355.29,357.34,500.08,466.47,616.64,621.36,25.59,24.56,-0.77,-2.05,33.61,-4.72,1.03,5.99,93.83
"Dante Fabbro","21-22","NSH","D",66,1161.22,54.36,51.23,52.01,51.39,52.82,58.13,48.81,605.84,576.77,861,794.57,1127.56,1066.63,48.87,43.65,9.32,29.07,66.43,60.93,5.22,9.59,91.54
"Danton Heinen","19-20","ANA/BOS","L",67,803.7,52.67,49.51,48.06,48.8,47.67,28.89,25.96,399.2,407.05,520.89,563,716.29,751.48,27.51,30.2,2.93,-7.85,-42.11,-35.19,-2.69,7.24,93.62
"Danton Heinen","20-21","ANA","L",43,534.22,42.52,44.43,46.45,47.05,44.1,18.06,24.41,223.88,280.04,336.66,388.06,458.58,516.02,18.19,23.06,-6.35,-56.16,-51.4,-57.44,-4.87,8.07,91.28
"Danton Heinen","21-22","PIT","L",76,869.47,54.32,55.76,56.03,54.82,58.7,45.3,38.1,497.9,395,681.44,534.75,873.3,719.79,43.7,30.74,7.2,102.9,146.69,153.51,12.96,9.1,90.35
"Darnell Nurse","19-20","EDM","D",71,1413.7,46.82,49.06,48.63,49.09,48.93,65.97,74.92,756.11,785.12,1011.69,1068.5,1324.56,1373.84,62.81,65.55,-8.95,-29.01,-56.81,-49.28,-2.74,8.72,90.46
"Darnell Nurse","20-21","EDM","D",56,1188.9,55.13,50.26,50.65,51.44,51.15,74.16,60.37,684.42,677.47,919.69,896.26,1188.21,1121.6,56.84,54.29,13.79,6.95,23.43,66.61,2.55,10.84,91.09
"Darnell Nurse","21-22","EDM","D",71,1459.12,51.1,52.68,53.32,53.92,53.83,65.68,62.84,868.32,779.94,1184.34,1036.76,1558.27,1331.52,76.25,65.39,2.84,88.38,147.58,226.75,10.86,7.56,91.94
"Darren Helm","19-20","DET","C",68,804.85,41.21,51.27,48.63,47.8,45.46,17.7,25.25,376.49,357.88,503.41,531.71,653.82,714.03,26.3,31.55,-7.55,18.61,-28.3,-60.21,-5.25,4.7,92.94
"Darren Helm","20-21","DET","C",47,586.05,43.07,47.42,46.9,47.36,45.28,13.92,18.4,266.82,295.87,355.68,402.62,484.29,538.36,18.53,22.39,-4.48,-29.05,-46.94,-54.07,-3.86,5.22,93.78
"Darren Helm","21-22","COL","C",68,579.87,38.57,49.69,49.1,51.18,48.17,16.13,25.69,307.39,311.22,396.46,411.01,558.62,532.77,20.08,21.61,-9.56,-3.83,-14.55,25.85,-1.53,5.25,91.75
"David Backes","19-20","ANA/BOS","R",22,197.48,50.22,54.28,53.63,51.96,58.74,7.91,7.84,108.35,91.27,146.66,126.8,187.6,173.48,7.43,5.22,0.07,17.08,19.86,14.12,2.21,7.3,91.41
"David Backes","20-21","ANA","R",15,163.22,27.82,51.99,51.28,49.51,47.43,4.02,10.43,80.4,74.25,107.86,102.48,140.26,143.03,6.01,6.66,-6.41,6.15,5.38,-2.77,-0.65,5,85.95
"David Gustafsson","19-20","WPG","C",22,133.7,35.04,26.3,29.43,30.03,20,2.12,3.93,28.07,78.68,46.36,111.14,64.3,149.83,1.61,6.44,-1.81,-50.61,-64.78,-85.53,-4.83,7.55,95.01
"David Kampf","19-20","CHI","C",70,789.5,38.1,47.16,47.77,47.27,47.05,18.98,30.84,389.76,436.74,510.81,558.55,676.06,754.15,31.37,35.31,-11.86,-46.98,-47.74,-78.09,-3.94,4.87,92.94
"David Kampf","20-21","CHI","C",56,671.95,42.64,48.01,47.26,47.3,44.19,15.96,21.47,310.1,335.87,413.42,461.32,563.13,627.37,23.89,30.17,-5.51,-25.77,-47.9,-64.24,-6.28,5.15,93.61
"David Kampf","21-22","TOR","C",82,1016.75,51.35,53.25,52.4,52.5,52.11,38.89,36.84,526.01,461.78,691.02,627.8,914.25,827.16,38.59,35.47,2.05,64.23,63.22,87.09,3.12,7.39,92.02
"David Kase","19-20","PHI","R",6,57.3,67.81,34.74,35.63,39.16,33.33,1.98,0.94,17.39,32.67,24.47,44.21,34.07,52.93,1.14,2.28,1.04,-15.28,-19.74,-18.86,-1.14,11.39,97.12
"David Krejci","19-20","BOS","C",61,894.48,64.44,50.68,50.73,50.82,50.81,41.03,22.64,467.41,454.81,640.43,621.99,836.67,809.75,34.27,33.18,18.39,12.6,18.44,26.92,1.09,8.78,95.02
"David Krejci","20-21","BOS","C",51,719.15,69.01,56.44,56.62,57.13,56.15,29.86,13.41,392.7,303.04,546.95,419,727.41,545.93,26.99,21.08,16.45,89.66,127.95,181.48,5.91,7.6,95.57
"David Pastrnak","19-20","BOS","R",70,1032.13,64.87,54.7,54.02,54.69,53.21,65.53,35.48,580.25,480.57,786.31,669.4,1056.28,875.12,43.11,37.91,30.05,99.68,116.91,181.16,5.2,11.29,92.62
"David Pastrnak","20-21","BOS","R",48,704.12,60.9,60.97,61,60.29,57.62,42.02,26.98,445.25,284.98,612.3,391.41,766.77,505.04,29.96,22.04,15.04,160.27,220.89,261.73,7.92,9.44,90.53
"David Pastrnak","21-22","BOS","R",72,1037.3,61.64,60.58,59.08,58.36,58.5,65.84,40.97,700.48,455.85,902.57,625.18,1144.54,816.73,49.81,35.33,24.87,244.63,277.39,327.81,14.48,9.4,91.01
"David Perron","19-20","STL","L",71,1049.77,55.63,53.1,52.75,53.19,50.32,47.5,37.88,537.96,475.13,722.79,647.3,921.7,811.1,39.54,39.03,9.62,62.83,75.49,110.6,0.51,8.83,92.03
"David Perron","20-21","STL","L",56,841.17,52.97,51.7,51.33,51.24,46.26,34.22,30.38,413.26,386.15,540.61,512.65,734.33,698.89,28.05,32.58,3.84,27.11,27.96,35.44,-4.53,8.28,92.13
"David Perron","21-22","STL","L",67,925.58,56.65,51.25,49.86,51.88,49.04,34.95,26.74,436.61,415.28,595.17,598.56,804.73,746.54,35.65,37.04,8.21,21.33,-3.39,58.19,-1.39,8,93.56
"David Savard","19-20","CBJ","D",68,1241.08,47.33,50.59,49.29,46.3,52.01,43.75,48.69,634.55,619.64,840.46,864.52,1066.32,1236.79,45.93,42.38,-4.94,14.91,-24.06,-170.47,3.55,6.89,92.14
"David Savard","20-21","CBJ/T.B","D",54,942.02,24.71,45.85,45.39,44.6,46.8,16.68,50.81,406.91,480.65,543.68,654.1,720.78,895.48,28.77,32.7,-34.13,-73.74,-110.42,-174.7,-3.93,4.1,89.43
"David Savard","21-22","MTL","D",62,1101.33,37.97,41.96,42.34,42.4,43.48,39.78,65,498.2,689.01,673.82,917.47,891.48,1210.86,44.39,57.7,-25.22,-190.81,-243.65,-319.38,-13.31,7.98,90.57
"Dawson Mercer","21-22","N.J","C",82,1153.63,42.97,48.35,47.94,48.5,49.38,59.55,79.04,600.07,640.94,820.54,891.11,1069.57,1135.61,51.64,52.94,-19.49,-40.87,-70.57,-66.04,-1.3,9.92,87.67
"Dean Kukan","19-20","CBJ","D",33,491.1,38.75,52.28,52.12,50.63,55.39,12.94,20.45,245.19,223.83,326.75,300.21,420.96,410.5,18.87,15.2,-7.51,21.36,26.54,10.46,3.67,5.28,90.86
"Dean Kukan","20-21","CBJ","D",35,487.22,46.84,50.04,48.48,46.98,45.76,16.77,19.03,232.76,232.37,303.72,322.74,384.28,433.67,15.33,18.17,-2.26,0.39,-19.02,-49.39,-2.84,7.2,91.81
"Dean Kukan","21-22","CBJ","D",41,619.05,48.31,44.62,45.81,46.31,41.79,32.69,34.98,301.7,374.4,409.96,484.86,533.65,618.7,23.96,33.37,-2.29,-72.7,-74.9,-85.05,-9.41,10.84,90.66
"Denis Gurianov","19-20","DAL","R",64,695.32,57,49.24,49.82,49.36,53.01,29.39,22.17,354.07,365.01,488.01,491.45,653.83,670.75,31.06,27.53,7.22,-10.94,-3.44,-16.92,3.53,8.3,93.93
"Denis Gurianov","20-21","DAL","R",55,732.32,53.49,51.11,50.31,51.29,52.61,29.61,25.75,359.44,343.84,494.1,487.99,670.43,636.68,28.65,25.81,3.86,15.6,6.11,33.75,2.84,8.24,92.51
"Denis Gurianov","21-22","DAL","R",73,882.75,51.52,44.42,45.99,47.18,46.34,34.34,32.32,414.29,518.29,599.44,703.99,822.29,920.6,35.97,41.66,2.02,-104,-104.55,-98.31,-5.69,8.29,93.76
"Denis Malgin","19-20","FLA/TOR","C",44,473.42,34.28,52.12,52.24,53.19,46.32,15.02,28.79,263.07,241.7,356.54,325.93,483.08,425.15,18.5,21.44,-13.77,21.37,30.61,57.93,-2.94,5.71,88.09
"Dennis Cholowski","19-20","DET","D",36,570.45,32.26,43.62,44.29,43.94,44.55,14.12,29.65,251.81,325.41,356.25,448.15,456.62,582.65,19.84,24.69,-15.53,-73.6,-91.9,-126.03,-4.85,5.61,90.89
"Dennis Cholowski","20-21","DET","D",16,222.2,50.46,43.82,41.39,41.66,39.52,6.04,5.93,103.95,133.29,133.76,189.39,174.94,244.94,7.62,11.66,0.11,-29.34,-55.63,-70,-4.04,5.81,95.55
"Dennis Cholowski","21-22","SEA/WSH","D",11,161.67,45.79,45.52,46.93,48.79,48.66,10.16,12.03,74.54,89.22,112.82,127.6,153.98,161.61,6.72,7.09,-1.87,-14.68,-14.78,-7.63,-0.37,13.63,86.52
"Dennis Gilbert","19-20","CHI","D",21,299.15,35.06,40.35,42.09,42.13,42.17,9.95,18.43,125.08,184.87,171.05,235.33,229.89,315.76,10.55,14.47,-8.48,-59.79,-64.28,-85.87,-3.92,7.95,90.03
"Derek Forbort","19-20","CGY/L.A","D",20,322.85,33.33,48.63,49.79,49.11,52.21,5.01,10.02,156.13,164.9,225.05,226.95,286.49,296.82,12.64,11.57,-5.01,-8.77,-1.9,-10.33,1.07,3.21,93.92
"Derek Forbort","20-21","WPG","D",56,985.15,47.19,50.4,48.75,48.75,46.1,40.37,45.18,446.02,438.96,601.32,632.04,822.18,864.45,35.33,41.31,-4.81,7.06,-30.72,-42.27,-5.98,9.05,89.71
"Derek Forbort","21-22","BOS","D",76,1105.38,48.08,55.13,52.67,51.82,51.34,42.37,45.75,600.65,488.81,768.56,690.61,980.04,911.19,39.11,37.07,-3.38,111.84,77.95,68.85,2.04,7.05,90.64
"Derek Grant","19-20","ANA/PHI","C",56,579.05,42.55,40.82,40.86,40.28,40.95,18.44,24.9,242.38,351.45,347.98,503.68,450.78,668.44,19.22,27.71,-6.46,-109.07,-155.7,-217.66,-8.49,7.61,92.92
"Derek Grant","20-21","ANA","C",46,526.1,45.24,40.28,40.72,41.01,38.44,20.05,24.27,203.86,302.26,293.91,427.83,402.29,578.74,14.81,23.72,-4.22,-98.4,-133.92,-176.45,-8.91,9.84,91.97
"Derek Grant","21-22","ANA","C",71,794.72,40.42,45.41,44.81,44.81,44.15,28.94,42.66,370.21,444.98,513.03,631.92,683.85,842.3,30.39,38.45,-13.72,-74.77,-118.89,-158.45,-8.06,7.82,90.41
"Derek Ryan","19-20","CGY","C",68,803.3,57.49,47.98,48.71,48.77,50.22,29.9,22.11,380.94,413.03,554.77,584.09,739.36,776.76,30.91,30.64,7.79,-32.09,-29.32,-37.4,0.27,7.85,94.65
"Derek Ryan","20-21","CGY","C",43,415.55,59.35,57.65,59.7,59.69,61.88,17.84,12.22,207.54,152.48,316.58,213.74,428.39,289.35,18.41,11.34,5.62,55.06,102.84,139.04,7.07,8.6,91.99
"Derek Ryan","21-22","EDM","C",75,715.2,47.43,53.51,53.48,53.13,51.24,32.99,36.57,372.18,323.35,498.85,433.85,664.59,586.3,28.11,26.75,-3.58,48.83,65,78.29,1.36,8.86,88.69
"Derek Stepan","19-20","ARI","C",70,951.33,44.32,50.3,48.95,49.44,47.9,28.52,35.83,499.08,493.06,690.85,720.56,911.84,932.56,34.96,38.02,-7.31,6.02,-29.71,-20.72,-3.06,5.71,92.73
"Derek Stepan","20-21","OTT","C",20,227.17,36.81,50.73,50.18,47.59,47.7,6.92,11.88,126.43,122.8,175.33,174.04,206.99,227.94,9.23,10.12,-4.96,3.63,1.29,-20.95,-0.89,5.47,90.33
"Derek Stepan","21-22","CAR","C",58,561.67,50.76,57.77,57.6,58.33,57.57,25.46,24.7,327.72,239.53,452.37,333.02,609.52,435.47,27.54,20.3,0.76,88.19,119.35,174.05,7.24,7.77,89.69
"Derick Brassard","19-20","NYI","C",66,772.82,50.1,47.91,46.3,45.74,48.44,31.43,31.31,374.69,407.35,490.58,569.07,654.89,776.73,28.5,30.34,0.12,-32.66,-78.49,-121.84,-1.84,8.39,92.31
"Derick Brassard","20-21","ARI","C",53,634.97,47.99,45.49,46.54,48.54,47.38,21.99,23.83,250.52,300.17,365.93,420.42,519.66,550.94,19.89,22.09,-1.84,-49.65,-54.49,-31.28,-2.2,8.78,92.06
"Derick Brassard","21-22","EDM/PHI","C",46,508.58,58.31,45.73,45.83,46.64,47.46,22.63,16.18,231.33,274.48,321.09,379.56,434.06,496.54,18.47,20.45,6.45,-43.15,-58.47,-62.48,-1.98,9.78,94.11
"Derrick Pouliot","21-22","SEA/VGK","D",11,169.3,72.37,51.34,53.71,53.74,43.49,10.19,3.89,81.37,77.12,126.73,109.21,174.28,150.03,6.55,8.51,6.3,4.25,17.52,24.25,-1.96,12.52,94.96
"Deryk Engelland","19-20","VGK","D",49,687.72,50.79,50.63,51.69,51.14,53.61,31.88,30.89,359.97,350.96,500.95,468.27,679.78,649.57,31.75,27.47,0.99,9.01,32.68,30.21,4.28,8.86,91.2
"Devin Shore","19-20","ANA/CBJ","C",45,486.63,39.45,46.44,46.47,45.92,45.45,18.27,28.04,240.06,276.85,341.51,393.34,433.09,509.97,18.31,21.98,-9.77,-36.79,-51.83,-76.88,-3.67,7.61,89.87
"Devin Shore","20-21","EDM","C",38,364.03,31.82,39.51,40.57,39.9,41.49,8,17.14,126.36,193.43,175.87,257.58,241.15,363.26,8.85,12.48,-9.14,-67.07,-81.71,-122.11,-3.63,6.33,91.14
"Devin Shore","21-22","EDM","C",49,407.52,43.7,49.58,50.04,49.51,46.36,14.92,19.22,197.5,200.82,272.08,271.62,351.22,358.14,15.49,17.92,-4.3,-3.32,0.46,-6.92,-2.43,7.55,90.43
"Devon Toews","19-20","NYI","D",68,1206.27,51.9,51.49,50.21,50.28,53.42,48.55,44.99,610.21,574.94,821.06,814.14,1110.22,1097.97,52.33,45.63,3.56,35.27,6.92,12.25,6.7,7.96,92.17
"Devon Toews","20-21","COL","D",53,1036.77,63.16,61.53,61.82,61.54,63.54,59.45,34.68,603.23,377.09,844.7,521.59,1137.79,710.96,48.33,27.73,24.77,226.14,323.11,426.83,20.6,9.86,90.8
"Devon Toews","21-22","COL","D",66,1332.85,65.36,58.34,57.98,58.84,58.09,83.8,44.42,865.99,618.49,1137.79,824.69,1536.59,1074.69,65.5,47.26,39.38,247.5,313.1,461.9,18.24,9.68,92.82
"Dillon Dube","19-20","CGY","C",45,534.52,51.65,46.47,45.85,46.14,46.64,22.79,21.33,271.49,312.76,371.85,439.14,478.96,559.12,19.95,22.82,1.46,-41.27,-67.29,-80.16,-2.87,8.39,93.18
"Dillon Dube","20-21","CGY","C",51,618.7,53.12,49.5,51.3,51.99,50.18,28.22,24.91,310.33,316.64,433.12,411.25,572.54,528.69,22.77,22.61,3.31,-6.31,21.87,43.85,0.16,9.09,92.13
"Dillon Dube","21-22","CGY","C",79,876.13,52.94,55.86,55.57,56.4,53.52,37.54,33.37,517.97,409.31,727.82,582.02,943.74,729.56,39.79,34.56,4.17,108.66,145.8,214.18,5.23,7.25,91.85
"Dillon Heatherington","21-22","OTT","D",9,93.48,24.34,39.59,41.82,40.75,49.8,1.01,3.14,37.6,57.38,55.17,76.74,65.07,94.62,3.66,3.69,-2.13,-19.78,-21.57,-29.55,-0.03,2.69,94.53
"Dmitrij Jaskin","21-22","ARI","R",12,158.48,40.02,46.69,43.74,45.51,44.34,3.95,5.92,68.8,78.57,92.03,118.39,124.36,148.89,5.17,6.49,-1.97,-9.77,-26.36,-24.53,-1.32,5.74,92.47
"Dmitry Kulikov","19-20","WPG","D",51,935.22,44.27,48.68,48.91,50.11,43.75,29.91,37.65,444.84,468.99,631.38,659.51,859.88,856.01,31.24,40.16,-7.74,-24.15,-28.13,3.87,-8.92,6.72,91.97
"Dmitry Kulikov","20-21","EDM/N.J","D",48,795.01,45.83,52.38,53,53.67,54.97,27.31,32.28,405.84,368.95,563.29,499.44,741.78,640.45,32.62,26.72,-4.97,36.89,63.85,101.33,5.9,6.73,91.25
"Dmitry Kulikov","21-22","MIN","D",80,1263.97,61.35,50.29,50.3,50.82,52.6,65.93,41.53,627.17,620.02,872.19,861.82,1175.42,1137.47,48.69,43.87,24.4,7.15,10.37,37.95,4.82,10.51,93.3
"Dmitry Orlov","19-20","WSH","D",69,1339.33,48.92,52.58,53,53.44,51.89,60.4,63.06,716.36,646.08,1003.21,889.51,1334.29,1162.68,61.64,57.16,-2.66,70.28,113.7,171.61,4.48,8.43,90.24
