"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Barclay Goodrow","21-22","NYR","C",79,1060,54.53,44.79,45.47,45.01,45.11,45.09,37.6,435.98,537.42,625.29,749.81,832.7,1017.23,38.48,46.82,7.49,-101.44,-124.52,-184.53,-8.34,10.34,93
"Barrett Hayton","19-20","ARI","C",20,215.57,56.93,45.87,45.74,47.58,46.62,8.01,6.06,111.99,132.16,151.37,179.55,199.92,220.23,8.01,9.17,1.95,-20.17,-28.18,-20.31,-1.16,7.15,95.41
"Barrett Hayton","20-21","ARI","C",14,126.8,48.77,48.79,50.6,51.14,45.41,3.77,3.96,56.46,59.26,88.73,86.62,123.51,118,4.7,5.65,-0.19,-2.8,2.11,5.51,-0.95,6.68,93.32
"Barrett Hayton","21-22","ARI","C",60,768.63,43.69,44.72,44.66,45.29,44.25,29.59,38.14,351.5,434.45,474.79,588.24,632.79,764.54,27.09,34.13,-8.55,-82.95,-113.45,-131.75,-7.04,8.42,91.22
"Beck Malenstyn","21-22","WSH","L",12,99.58,63.46,55.73,55.71,55.88,56.06,5.02,2.89,49.64,39.44,66.64,52.98,89.95,71.02,3.7,2.9,2.13,10.2,13.66,18.93,0.8,10.11,92.67
"Ben Chiarot","19-20","MTL","D",69,1342.8,51.41,54.39,54.46,54.82,53.99,58.74,55.51,785.34,658.66,1086.08,908.32,1469.24,1211.05,62.41,53.18,3.23,126.68,177.76,258.19,9.23,7.48,91.57
"Ben Chiarot","20-21","MTL","D",41,757.58,38.06,52.22,51.76,52.53,52.24,22.04,35.87,382.93,350.32,532.16,496.03,725.54,655.65,29.23,26.72,-13.83,32.61,36.13,69.89,2.51,5.76,89.76
"Ben Chiarot","21-22","FLA/MTL","D",74,1375.06,41.59,48.29,47.77,48.25,47.83,50.92,71.52,725.52,776.91,966.02,1056,1283.93,1377.14,63.1,68.83,-20.6,-51.39,-89.98,-93.21,-5.73,7.02,90.79
"Ben Harpur","20-21","NSH","D",34,500.27,54.77,45.17,45.95,44.3,44.96,19.17,15.83,214.68,260.62,295.19,347.17,357.02,448.92,16.25,19.89,3.34,-45.94,-51.98,-91.9,-3.64,8.93,93.93
"Ben Harpur","21-22","NSH","D",19,233.87,22.13,43.76,47.1,45.03,42.49,4.16,14.64,92.44,118.8,145.3,163.17,188.22,229.81,7.38,9.99,-10.48,-26.36,-17.87,-41.59,-2.61,4.5,87.68
