"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Clayton Keller","21-22","ARI","C/R",62,188.25,95.09,78.91,80.9,83.17,89.21,5.37,0.28,48.79,13.04,65.36,15.43,82.82,16.76,5.79,0.7,5.09,35.75,49.93,66.06,5.09,11.01,97.87
"Cody Glass","19-20","VGK","C",38,86.8,93.36,87.73,89.88,91.45,86.27,9.03,0.64,61.9,8.66,82.62,9.3,114.44,10.7,7.56,1.2,8.39,53.24,73.32,103.74,6.35,14.6,92.58
"Cody Glass","20-21","VGK","C",27,62.7,100,89.19,89.65,90.09,90.3,6.42,0,54.64,6.62,73.01,8.43,94.14,10.35,6.95,0.75,6.42,48.02,64.58,83.79,6.2,11.75,100
"Cole Caufield","21-22","MTL","R",66,189.42,73.69,81.9,82.63,83.64,86.23,5.25,1.88,48.28,10.67,65.51,13.77,88.72,17.36,6.48,1.04,3.38,37.61,51.75,71.37,5.45,10.88,82.43
"Cole Perfetti","21-22","WPG","C",18,22.97,100,90.14,93.19,89.38,95.55,2.27,0,49.92,5.46,74.39,5.43,91.87,10.92,7.29,0.34,2.27,44.46,68.96,80.95,6.95,4.55,100
"Cole Sillinger","21-22","CBJ","C",75,67.15,81.68,85.61,84.12,88.37,83.77,3.47,0.78,52.58,8.84,65.92,12.45,95.02,12.5,5.72,1.11,2.69,43.75,53.48,82.52,4.61,6.59,91.2
"Colin Blackwell","20-21","NYR","C",44,50.92,100,84.3,86.17,88.17,96.8,11.71,0,55.22,10.29,77.44,12.43,93.05,12.49,7.13,0.24,11.71,44.93,65.01,80.56,6.89,21.21,100
"Colin Miller","19-20","BUF","D",50,68.93,85.95,71.92,75.02,81.31,83.09,4.63,0.76,35.49,13.86,46.81,15.59,71.13,16.35,3.51,0.71,3.87,21.63,31.22,54.79,2.79,13.05,94.54
"Colin Miller","20-21","BUF","D",46,47.48,100,77.34,77.99,79.7,83.72,6,0,41.11,12.04,52.11,14.71,64.08,16.33,4.16,0.81,6,29.06,37.41,47.75,3.35,14.6,100
"Colin Miller","21-22","BUF","D",37,53.75,100,76.54,79.87,79.21,91.87,8.67,0,39.15,12,53.07,13.37,64.49,16.92,3.78,0.33,8.67,27.15,39.69,47.56,3.45,22.16,100
"Colin White (C)","19-20","OTT","C",60,131.95,69,76.85,78.65,80.95,81.82,3.4,1.53,45.22,13.62,62.18,16.88,83.57,19.67,5.55,1.23,1.87,31.6,45.3,63.9,4.32,7.52,88.78
"Colin White (C)","20-21","OTT","C",45,70.7,86.82,79.61,78.88,81.56,88.99,4.86,0.74,46.64,11.95,58.12,15.56,73.71,16.67,4.94,0.61,4.12,34.69,42.56,57.04,4.33,10.43,93.82
"Colin White (C)","21-22","OTT","C",24,63.3,84.88,86.27,88.98,88.68,92.01,10.32,1.84,57.7,9.18,74.25,9.19,98.88,12.62,9.06,0.79,8.48,48.51,65.05,86.27,8.27,17.89,79.98
"Colton Parayko","19-20","STL","D",63,51.48,100,81.83,86.5,85.59,89.88,12.4,0,45.34,10.07,64.44,10.06,88.8,14.95,6.11,0.69,12.4,35.27,54.38,73.85,5.42,27.35,100
