"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Semyon Varlamov","19-20","NYI","G",45,2515.33,110.55,1276.21,1851.93,111.88,91.34,94.03,93.96,0.07,4.77,1.33
"Semyon Varlamov","20-21","NYI","G",36,2116.1,71.39,1014.16,1411.68,81.21,92.96,94.94,94.25,0.7,21.94,9.82
"Semyon Varlamov","21-22","NYI","G",31,1792.27,88.62,1001.57,1344.24,92.35,91.15,93.41,93.13,0.28,4.35,3.73
"Sergei Bobrovsky","19-20","FLA","G",50,2805.78,151,1499.38,2019.25,137.54,89.93,92.52,93.19,-0.67,-15.51,-13.46
"Sergei Bobrovsky","20-21","FLA","G",31,1814.87,87.19,920.55,1182.28,77.22,90.53,92.63,93.47,-0.84,-2.47,-9.97
"Sergei Bobrovsky","21-22","FLA","G",54,3080.58,137.64,1548.11,2021.97,149.22,91.11,93.19,92.62,0.57,6.05,11.58
"Spencer Knight","20-21","FLA","G",4,206.9,7.97,95.77,114.77,6.48,91.68,93.06,94.35,-1.3,0.84,-1.49
"Spencer Knight","21-22","FLA","G",32,1739.9,80.25,859.26,1141.71,78.52,90.66,92.97,93.12,-0.15,-0.49,-1.73
"Spencer Martin","21-22","VAN","G",6,378.35,10.96,214.02,296.68,22.31,94.88,96.31,92.48,3.83,8.9,11.35
"Stuart Skinner","21-22","EDM","G",13,734.15,31.82,366.73,475.77,32.83,91.32,93.31,93.1,0.21,2.22,1.01
"Thatcher Demko","19-20","VAN","G",27,1529.05,77.39,824.04,1097.45,75.46,90.61,92.95,93.12,-0.18,-2.93,-1.93
"Thatcher Demko","20-21","VAN","G",35,2086.77,100.59,1180.25,1592.95,109.29,91.48,93.69,93.14,0.55,8.03,8.7
"Thatcher Demko","21-22","VAN","G",64,3699.53,167.64,1967.91,2663.6,174.71,91.48,93.71,93.44,0.27,15.02,7.07
"Thomas Greiss","19-20","NYI","G",31,1595.22,72.87,832.18,1146.68,70.11,91.24,93.65,93.89,-0.24,2.32,-2.76
"Thomas Greiss","20-21","DET","G",34,1754.53,78.47,903.08,1250.72,72.68,91.31,93.73,94.19,-0.46,4.63,-5.79
"Thomas Greiss","21-22","DET","G",31,1507.73,91.44,852.78,1191.13,77.71,89.28,92.32,93.48,-1.15,-12.28,-13.73
"Tristan Jarry","19-20","PIT","G",33,1924.1,78.25,976.95,1314.76,79.24,91.99,94.05,93.97,0.08,10.03,0.99
"Tristan Jarry","20-21","PIT","G",39,2183.75,99.05,1085.86,1439.4,90.79,90.88,93.12,93.69,-0.57,0.88,-8.26
"Tristan Jarry","21-22","PIT","G",58,3415.18,139.47,1702.05,2268.19,146.05,91.81,93.85,93.56,0.29,18.51,6.58
"Troy Grosenick","20-21","L.A","G",2,120,5.73,73.59,98.71,7.25,92.21,94.2,92.66,1.54,1.05,1.52
"Tuukka Rask","19-20","BOS","G",41,2401.73,85.07,1179.39,1624.73,92.38,92.79,94.76,94.31,0.45,21.5,7.31
"Tuukka Rask","20-21","BOS","G",24,1395.72,52.74,599.59,849.42,52.33,91.2,93.79,93.84,-0.05,2.44,-0.41
"Tuukka Rask","21-22","BOS","G",4,196.35,14.96,94.43,129.8,8.08,84.16,88.47,93.78,-5.3,-6.19,-6.88
"Ukko-Pekka Luukkonen","20-21","BUF","G",4,216.7,13.63,149.46,204.09,12.41,90.88,93.32,93.92,-0.6,0.13,-1.22
"Ukko-Pekka Luukkonen","21-22","BUF","G",9,503.07,23.58,283.38,402.35,21.62,91.68,94.14,94.63,-0.49,2.72,-1.96
"Ville Husso","20-21","STL","G",17,916.97,48.76,458.48,639.91,42.35,89.36,92.38,93.38,-1,-6.57,-6.41
"Ville Husso","21-22","STL","G",40,2341.22,99.87,1227.98,1714.42,114.05,91.87,94.17,93.35,0.83,14.11,14.18
"Vitek Vanecek","20-21","WSH","G",37,2114.03,94.48,1017.97,1441.9,86.9,90.72,93.45,93.97,-0.53,-0.8,-7.58
"Vitek Vanecek","21-22","WSH","G",42,2317.27,103.74,1119.48,1564.69,100.89,90.73,93.37,93.55,-0.18,0.17,-2.85
"Zach Fucale","21-22","WSH","G",4,171.58,5.25,63.92,98.66,6.67,91.79,94.68,93.24,1.44,0.69,1.42
"Zach Sawchenko","21-22","S.J","G",7,268.97,15.27,156.53,218.8,15.09,90.24,93.02,93.1,-0.08,-0.74,-0.18
