"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Cody Glass","20-21","VGK","C",27,392.58,4,4,2,10,28,36,55,4.52,14.29,11.11,12.56,9,6,11,10,31,4,6,0,0,2,110,149,-39
"Cody Glass","21-22","NSH","C",8,91.27,0,0,1,1,9,12,15,0.81,0,0,6.75,4,2,1,13,11,0,1,0,0,1,20,37,-17
"Cody Goloubef","19-20","DET/OTT","D",26,394.89,1,0,1,2,18,29,43,0.54,5.56,3.45,1.86,24,21,3,45,21,4,3,0,0,-1,0,0,0
"Colby Cave","19-20","EDM","C",11,106.07,1,0,0,1,5,8,12,0.5,20,12.5,6.25,3,1,3,17,9,2,1,0,0,-1,36,41,-5
"Cole Bardreau","19-20","NYI","C",10,88.7,1,1,0,2,10,13,15,1.09,10,7.69,8.38,1,4,4,21,7,3,1,0,0,-2,21,29,-8
"Cole Caufield","20-21","MTL","R",10,139.6,4,1,0,5,30,46,56,2.96,13.33,8.7,6.43,0,4,3,3,3,1,1,0,0,0,0,0,0
"Cole Caufield","21-22","MTL","R",67,1115.95,23,12,8,43,188,259,327,18.78,12.23,8.88,7.25,7,27,32,18,45,5,17,0,0,12,5,5,0
"Cole Perfetti","21-22","WPG","C",18,254.67,2,5,0,7,21,34,48,2.75,9.52,5.88,8.09,2,5,7,17,19,0,2,0,0,2,0,3,-3
"Cole Sillinger","21-22","CBJ","C",79,1082.22,16,9,6,31,148,201,254,16.06,10.81,7.96,7.99,43,24,24,98,68,16,14,1,1,-2,362,417,-55
"Cole Smith","21-22","NSH","L",8,70.68,0,0,0,0,3,4,6,0.22,0,0,5.5,1,2,3,21,8,0,1,0,0,1,0,1,-1
"Colin Blackwell","19-20","NSH","C",27,295.77,3,5,2,10,31,42,53,2.5,9.68,7.14,5.95,23,7,6,43,32,5,9,0,0,4,37,29,8
"Colin Blackwell","20-21","NYR","C",47,658.3,12,5,5,22,64,96,115,7.79,18.75,12.5,8.11,19,17,15,45,66,5,8,1,1,3,30,32,-2
"Colin Blackwell","21-22","SEA/TOR","C",58,692.17,10,4,6,20,77,96,126,7.17,12.99,10.42,7.47,24,17,18,91,70,2,8,0,0,6,83,86,-3
"Colin Miller","19-20","BUF","D",51,873.83,1,6,4,11,79,115,175,2.92,1.27,0.87,2.54,40,29,9,87,43,11,9,0,0,-2,0,0,0
"Colin Miller","20-21","BUF","D",48,864,4,3,5,12,64,96,139,2.15,6.25,4.17,2.24,51,25,14,91,53,11,10,1,1,-1,0,0,0
"Colin Miller","21-22","BUF","D",38,721.32,2,7,5,14,48,73,102,1.64,4.17,2.74,2.25,42,13,6,50,48,8,5,1,1,-3,0,0,0
"Colin White (C)","19-20","OTT","C",61,957.78,7,6,10,23,83,116,151,9.47,8.43,6.03,8.16,30,29,23,47,100,17,11,1,1,-6,275,305,-30
"Colin White (C)","20-21","OTT","C",45,661.1,10,4,4,18,69,102,132,8.84,14.49,9.8,8.67,18,25,15,58,43,8,7,0,0,-1,170,232,-62
"Colin White (C)","21-22","OTT","C",24,368.1,3,5,2,10,47,60,72,6.08,6.38,5,10.13,4,10,4,28,25,2,2,0,0,0,86,91,-5
"Colin Wilson","19-20","COL","C",9,113.77,0,1,3,4,12,17,20,1.17,0,0,6.88,2,3,1,8,11,0,0,0,0,0,3,4,-1
"Colton Parayko","19-20","STL","D",64,1470.93,10,4,14,28,162,220,284,6.31,6.17,4.55,2.87,106,41,33,87,109,9,9,0,0,0,0,0,0
"Colton Parayko","20-21","STL","D",32,682.6,2,5,5,12,60,80,117,2.36,3.33,2.5,2.95,64,23,13,35,68,7,3,0,0,-4,0,0,0
"Colton Parayko","21-22","STL","D",80,1883.95,6,10,19,35,135,183,244,7.54,4.44,3.28,4.12,169,53,51,72,119,10,18,0,0,8,0,0,0
"Colton Sceviour","19-20","FLA","C",69,912.47,6,7,3,16,114,150,171,8.4,5.26,4,5.6,72,35,26,91,80,3,7,0,0,4,65,83,-18
"Colton Sceviour","20-21","PIT","C",46,440.65,5,3,2,10,53,62,76,3.67,9.43,8.06,5.92,28,5,9,64,51,1,3,0,0,2,5,13,-8
"Colton Sceviour","21-22","EDM","C",35,331.57,2,2,1,5,38,53,60,3.15,5.26,3.77,5.94,20,10,9,41,29,3,3,2,2,0,29,33,-4
"Colton Sissons","19-20","NSH","C",57,816.87,9,5,1,15,52,80,92,6.16,17.31,11.25,7.7,41,25,14,84,39,10,4,0,0,-6,283,269,14
"Colton Sissons","20-21","NSH","C",54,775.02,8,4,3,15,58,79,96,6.44,13.79,10.13,8.15,27,9,15,74,23,9,5,0,0,-4,319,272,47
"Colton Sissons","21-22","NSH","C",79,1276.73,7,10,11,28,87,134,163,11.39,8.05,5.22,8.5,44,25,19,188,80,15,7,0,0,-8,719,572,147
"Colton White","19-20","N.J","D",6,83.92,0,0,0,0,2,4,4,0.07,0,0,1.75,4,6,2,3,13,2,1,0,0,-1,0,0,0
"Colton White","21-22","N.J","D",27,357.67,0,1,3,4,18,30,45,0.84,0,0,2.8,14,10,1,24,70,4,2,0,0,-2,0,0,0
"Connor Brown","19-20","OTT","R",71,1428.15,16,13,14,43,173,238,287,18.73,9.25,6.72,7.87,35,40,52,39,65,12,11,0,0,-1,29,39,-10
"Connor Brown","20-21","OTT","R",56,1021.57,21,6,8,35,123,162,200,14.16,17.07,12.96,8.74,30,29,56,22,72,6,9,0,0,3,12,15,-3
"Connor Brown","21-22","OTT","R",64,1284.15,10,17,12,39,121,169,235,14.37,8.26,5.92,8.5,37,50,51,14,82,5,19,0,0,14,48,85,-37
"Connor Bunnaman","19-20","PHI","C",21,194.92,1,0,1,2,18,21,22,1.16,5.56,4.76,5.52,2,4,1,29,20,1,3,0,0,2,36,60,-24
"Connor Bunnaman","20-21","PHI","C",18,208.13,0,1,0,1,15,20,27,0.87,0,0,4.35,6,0,5,31,20,1,0,0,0,-1,56,48,8
"Connor Bunnaman","21-22","PHI","C",15,150.15,0,0,0,0,10,15,17,1.07,0,0,7.13,2,2,0,17,10,2,1,0,0,-1,57,50,7
"Connor Carrick","19-20","N.J","D",29,417.88,1,1,4,6,25,34,51,0.74,4,2.94,2.18,39,12,5,27,52,6,1,1,1,-5,0,0,0
"Connor Carrick","20-21","N.J","D",11,205.37,1,0,1,2,8,16,21,0.4,12.5,6.25,2.5,24,8,1,11,21,0,1,1,1,1,0,0,0
"Connor Clifton","19-20","BOS","D",31,447.07,2,0,0,2,20,31,54,1.07,10,6.45,3.45,33,7,12,90,71,6,8,0,0,2,0,0,0
"Connor Clifton","20-21","BOS","D",44,801.53,1,2,4,7,48,72,103,1.52,2.08,1.39,2.11,52,15,13,108,113,14,5,2,2,-9,0,0,0
"Connor Clifton","21-22","BOS","D",60,962.72,2,3,5,10,80,107,148,2.41,2.5,1.87,2.25,62,14,16,156,162,11,10,2,2,-1,0,0,0
"Connor Dewar","21-22","MIN","C",35,346.9,2,3,1,6,44,59,82,3.12,4.55,3.39,5.29,22,6,9,48,35,5,10,1,1,5,62,71,-9
"Connor MacKey","20-21","CGY","D",6,84.97,1,1,1,3,4,9,11,0.42,25,11.11,4.67,0,4,0,8,9,5,1,2,2,-4,0,0,0
"Connor McDavid","19-20","EDM","C",64,1399.4,34,38,25,97,212,265,339,26.31,16.04,12.83,9.93,18,75,53,37,57,14,24,0,0,10,320,350,-30
"Connor McDavid","20-21","EDM","C",56,1240.6,33,50,22,105,200,257,314,25.4,16.5,12.84,9.88,24,47,36,61,89,10,29,0,0,19,316,322,-6
"Connor McDavid","21-22","EDM","C",80,1765.3,44,49,30,123,315,393,481,45.46,13.97,11.2,11.57,26,68,73,75,124,15,52,1,0,36,561,485,76
"Connor McMichael","21-22","WSH","C",68,711.83,9,7,2,18,106,137,164,12.45,8.49,6.57,9.09,22,10,15,46,37,5,5,0,0,0,148,197,-49
"Connor Murphy","19-20","CHI","D",58,1232.53,5,8,6,19,117,151,236,4.41,4.27,3.31,2.92,138,44,17,128,156,11,13,1,1,2,0,0,0
"Connor Murphy","20-21","CHI","D",50,1107.27,3,5,7,15,78,99,159,2.33,3.85,3.03,2.35,123,37,10,102,155,5,14,1,1,9,0,0,0
"Connor Murphy","21-22","CHI","D",57,1240.28,4,2,4,10,71,98,150,2.52,5.63,4.08,2.57,150,47,19,130,136,21,11,1,2,-9,0,0,0
"Conor Garland","19-20","ARI","R",68,962.4,22,10,7,39,158,221,257,15.45,13.92,9.95,6.99,20,27,30,26,94,11,15,0,0,4,4,7,-3
"Conor Garland","20-21","ARI","R",49,878.12,12,22,5,39,135,185,241,12.38,8.89,6.49,6.69,19,19,34,26,84,13,27,0,1,15,7,14,-7
"Conor Garland","21-22","VAN","R",77,1261.32,19,22,11,52,203,266,331,18.98,9.36,7.14,7.14,22,36,49,52,113,13,33,0,0,20,5,6,-1
"Conor Sheary","19-20","BUF/PIT","L",63,825.82,10,8,5,23,102,140,168,9.43,9.8,7.14,6.74,26,18,19,28,54,5,9,0,0,4,1,3,-2
"Conor Sheary","20-21","WSH","L",53,726.63,14,4,4,22,88,120,144,10.73,15.91,11.67,8.94,20,8,25,24,62,7,12,0,0,5,3,7,-4
"Conor Sheary","21-22","WSH","L",71,1085.3,19,14,10,43,129,182,214,15.19,14.73,10.44,8.35,44,12,38,45,97,7,15,0,0,8,11,16,-5
"Conor Timmins","20-21","COL","D",31,420.15,0,2,5,7,31,45,70,1.16,0,0,2.58,22,4,6,18,41,4,2,0,0,-2,0,0,0
"Conor Timmins","21-22","ARI","D",6,106.48,0,0,0,0,5,10,17,0.33,0,0,3.3,9,2,3,7,8,0,0,0,0,0,0,0,0
"Corey Perry","19-20","DAL","R",57,782.27,5,8,8,21,77,116,159,11.09,6.49,4.31,9.56,33,26,17,60,46,20,15,2,1,-6,4,6,-2
"Corey Perry","20-21","MTL","R",49,673.22,9,8,4,21,62,88,109,7.92,14.52,10.23,9,15,16,15,56,44,7,12,3,3,5,0,6,-6
"Corey Perry","21-22","T.B","R",82,1108.7,19,17,4,40,153,206,242,22.6,12.42,9.22,10.97,28,22,19,73,121,23,28,2,2,5,2,2,0
"Corey Schueneman","21-22","MTL","D",24,398.38,2,3,1,6,30,47,65,1.36,6.67,4.26,2.89,40,13,6,15,46,4,4,0,0,0,0,0,0
"Craig Smith","19-20","NSH","C",69,926.3,18,5,8,31,184,250,280,20.63,9.78,7.2,8.25,19,26,26,60,63,12,13,0,0,1,14,15,-1
"Craig Smith","20-21","BOS","C",54,803.25,13,9,10,32,132,187,236,10.96,9.85,6.95,5.86,8,16,24,66,83,9,6,0,0,-3,10,13,-3
"Craig Smith","21-22","BOS","C",74,1067.05,16,14,6,36,187,249,319,15.21,8.56,6.43,6.11,28,30,20,95,97,14,14,0,0,0,4,8,-4
"Curtis Lazar","19-20","BUF","C",38,449.65,5,4,1,10,33,52,60,5.27,15.15,9.62,10.13,24,10,13,70,35,2,5,1,1,3,185,176,9
"Curtis Lazar","20-21","BOS/BUF","C",50,666.19,7,3,3,13,55,79,91,8.33,12.73,8.86,10.54,22,7,18,99,62,3,7,0,0,4,160,175,-15
"Curtis Lazar","21-22","BOS","C",70,839.4,8,4,4,16,95,124,147,9.7,8.42,6.45,7.82,51,11,17,186,130,8,11,0,0,3,136,143,-7
"Dakota Joshua","20-21","STL","C",12,107.62,1,0,0,1,9,9,11,0.58,11.11,11.11,6.44,2,1,3,23,21,1,4,1,1,3,37,27,10
"Dakota Joshua","21-22","STL","C",30,254.78,3,3,2,8,31,41,49,4.22,9.68,7.32,10.29,10,8,7,77,42,3,4,2,2,1,40,35,5
"Dakota Mermis","19-20","N.J","D",10,192.17,1,1,2,4,17,19,33,0.36,5.88,5.26,1.89,21,7,1,20,22,2,0,0,0,-2,0,0,0
"Dale Weise","19-20","MTL","R",23,213.13,1,3,1,5,15,19,22,1.56,6.67,5.26,8.21,10,12,8,70,25,3,2,2,2,-1,0,0,0
"Damon Severson","19-20","N.J","D",69,1584.43,8,12,11,31,114,149,221,7.75,7.02,5.37,5.2,97,73,35,81,55,17,9,2,2,-8,0,0,0
"Damon Severson","20-21","N.J","D",56,1259.13,3,10,8,21,91,129,195,4.45,3.3,2.33,3.45,50,52,23,57,43,12,6,1,1,-6,0,0,0
"Damon Severson","21-22","N.J","D",80,1887.02,11,18,17,46,159,225,313,9.54,6.92,4.89,4.24,92,63,38,91,97,27,6,1,1,-21,0,0,0
"Dan Hamhuis","19-20","NSH","D",60,870.82,0,6,2,8,44,76,101,2.07,0,0,2.72,53,34,9,64,48,10,3,1,1,-7,0,0,0
"Dan Renouf","20-21","COL","D",18,182.95,0,1,2,3,12,14,18,0.25,0,0,1.79,3,3,1,20,14,3,1,2,2,-2,0,0,0
"Dan Renouf","21-22","DET","D",4,56.02,0,0,0,0,3,4,5,0.06,0,0,1.5,2,1,1,4,4,1,1,1,1,0,0,0,0
"Daniel Carr","19-20","NSH","L",11,113.7,1,0,0,1,14,19,22,1.03,7.14,5.26,5.42,2,1,8,10,15,2,4,0,0,2,0,1,-1
"Daniel Carr","20-21","WSH","L",6,61.37,0,1,0,1,5,6,8,0.39,0,0,6.5,4,2,1,10,5,1,2,0,0,1,0,0,0
"Daniel O'Regan","21-22","ANA","C",5,50.28,0,1,0,1,2,2,6,0.22,0,0,11,4,0,1,3,5,0,0,0,0,0,11,17,-6
"Daniel Sprong","19-20","ANA","R",8,112.8,1,1,0,2,17,25,31,1.41,5.88,4,5.64,3,0,1,4,6,1,1,0,0,0,0,0,0
"Daniel Sprong","20-21","WSH","R",42,490.08,13,4,3,20,74,98,127,5.28,17.57,13.27,5.39,1,13,11,28,32,6,3,0,0,-3,4,4,0
"Daniel Sprong","21-22","SEA/WSH","R",63,818.09,14,4,2,20,153,220,269,14.33,9.15,6.36,6.51,12,24,20,43,56,4,7,0,0,3,0,4,-4
"Daniil Miromanov","21-22","VGK","D",11,107.62,0,0,1,1,15,21,32,0.61,0,0,2.9,6,2,1,5,12,1,2,0,0,1,0,0,0
"Danil Yurtaykin","19-20","S.J","L",4,52,0,0,0,0,2,5,8,0.44,0,0,8.8,2,0,2,3,4,0,2,0,0,2,0,0,0
"Danny Dekeyser","19-20","DET","D",8,176.48,0,1,3,4,12,19,23,0.89,0,0,4.68,18,8,0,6,14,2,0,0,0,-2,0,0,0
"Danny Dekeyser","20-21","DET","D",47,850.68,4,3,5,12,43,64,92,1.55,9.3,6.25,2.42,81,20,1,44,73,10,2,0,0,-8,0,0,0
"Danny Dekeyser","21-22","DET","D",59,1091.78,0,6,5,11,57,73,119,2.39,0,0,3.27,102,21,7,49,49,13,0,0,0,-13,0,0,0
"Dante Fabbro","19-20","NSH","D",64,1217.62,5,3,3,11,92,131,191,3.7,5.43,3.82,2.82,85,39,23,54,116,19,16,0,0,-3,0,0,0
"Dante Fabbro","20-21","NSH","D",40,772.6,2,5,5,12,59,74,101,1.46,3.39,2.7,1.97,57,26,8,32,67,9,4,1,1,-5,0,0,0
"Dante Fabbro","21-22","NSH","D",66,1256.88,3,11,10,24,88,131,189,3.36,3.41,2.29,2.56,105,35,22,69,126,12,13,0,0,1,0,0,0
"Danton Heinen","19-20","ANA/BOS","L",67,969.48,10,7,9,26,109,139,184,11.48,9.17,7.19,8.26,34,30,19,35,66,5,8,0,0,3,5,8,-3
"Danton Heinen","20-21","ANA","L",43,634.87,7,6,1,14,76,104,139,8.43,9.21,6.73,8.11,30,10,23,32,27,0,6,0,0,6,1,6,-5
"Danton Heinen","21-22","PIT","L",76,965.57,18,10,5,33,138,183,217,16.54,13.04,9.84,9.04,33,24,36,66,87,8,8,0,0,0,0,4,-4
"Darnell Nurse","19-20","EDM","D",71,1665.27,5,12,16,33,170,231,329,7.48,2.94,2.16,3.24,141,54,26,172,73,19,7,2,2,-12,0,0,0
"Darnell Nurse","20-21","EDM","D",56,1435,16,8,12,36,155,208,289,7.18,10.32,7.69,3.45,100,61,24,117,63,16,10,3,3,-6,0,0,0
"Darnell Nurse","21-22","EDM","D",71,1778.45,9,12,14,35,203,286,410,10.27,4.43,3.15,3.59,132,67,33,196,61,27,9,0,0,-18,0,0,0
"Darren Helm","19-20","DET","C",68,933.87,9,3,4,16,102,124,154,8.54,8.82,7.26,6.89,26,30,24,88,65,11,11,1,0,-1,15,13,2
"Darren Helm","20-21","DET","C",47,689.85,3,2,3,8,83,97,130,6.18,3.61,3.09,6.37,20,10,13,39,63,5,11,0,0,6,6,3,3
"Darren Helm","21-22","COL","C",68,717.48,7,5,3,15,93,115,146,9.02,7.53,6.09,7.84,27,7,25,114,56,7,4,0,0,-3,103,130,-27
"David Backes","19-20","ANA/BOS","R",22,206.76,1,4,1,6,34,45,50,2.54,2.94,2.22,5.64,8,9,5,38,20,6,3,0,0,-3,27,44,-17
"David Backes","20-21","ANA","R",15,191.02,3,0,1,4,30,39,49,2.72,10,7.69,6.97,16,5,5,31,20,2,0,0,0,-2,81,79,2
"David Gustafsson","19-20","WPG","C",22,135.13,1,0,0,1,4,7,10,0.27,25,14.29,3.86,6,1,0,5,10,0,3,0,0,3,34,29,5
"David Kampf","19-20","CHI","C",70,956.68,8,6,2,16,90,118,140,12.48,8.89,6.78,10.58,26,17,37,52,118,4,11,0,0,7,313,285,28
"David Kampf","20-21","CHI","C",56,821.35,1,6,5,12,63,81,101,6.74,1.59,1.23,8.32,14,8,31,45,82,10,12,0,0,2,410,367,43
"David Kampf","21-22","TOR","C",82,1251.73,11,10,5,26,102,136,168,12.15,10.78,8.09,8.93,26,25,30,80,110,10,13,0,0,3,616,548,68
"David Kase","19-20","PHI","R",6,58.67,1,0,0,1,5,8,10,0.37,20,12.5,4.62,1,1,2,4,7,0,1,0,0,1,1,0,1
"David Krejci","19-20","BOS","C",61,1047.6,13,13,17,43,83,127,163,11.26,15.66,10.24,8.87,32,37,31,37,86,9,7,1,1,-2,371,366,5
"David Krejci","20-21","BOS","C",51,873.87,8,24,12,44,83,112,141,7.35,9.64,7.14,6.56,26,28,21,25,43,8,5,0,0,-3,321,271,50
"David Pastrnak","19-20","BOS","R",70,1327.25,48,31,16,95,279,379,507,26.46,17.2,12.66,6.98,22,88,49,47,113,20,26,0,0,6,7,11,-4
"David Pastrnak","20-21","BOS","R",48,893.48,20,21,7,48,176,247,334,14.88,11.36,8.1,6.02,13,31,25,35,60,12,22,0,0,10,2,5,-3
"David Pastrnak","21-22","BOS","R",72,1339.38,40,27,10,77,312,438,560,30.19,12.82,9.13,6.89,14,77,35,63,87,10,22,0,0,12,7,14,-7
"David Perron","19-20","STL","L",71,1300.48,25,18,17,60,166,238,324,16.61,15.06,10.5,6.98,19,35,39,67,65,28,16,0,0,-12,3,5,-2
"David Perron","20-21","STL","L",56,1038.75,19,20,19,58,151,202,288,13.3,12.58,9.41,6.58,25,32,17,45,34,11,12,0,0,1,0,6,-6
"David Perron","21-22","STL","L",67,1137.42,27,10,20,57,177,231,319,17.87,15.25,11.69,7.74,11,18,37,80,56,20,16,0,0,-4,1,3,-2
"David Savard","19-20","CBJ","D",68,1406.62,0,5,6,11,97,135,193,2.81,0,0,2.08,163,43,18,129,101,10,9,1,1,-1,0,0,0
"David Savard","20-21","CBJ/T.B","D",54,1071.68,1,0,5,6,69,92,124,3.22,1.45,1.09,3.5,109,24,7,132,79,12,5,0,0,-7,0,0,0
"David Savard","21-22","MTL","D",62,1289.02,3,5,9,17,66,88,127,4.7,4.55,3.41,5.34,127,63,7,134,79,18,9,0,0,-9,0,0,0
"Dawson Mercer","21-22","N.J","C",82,1356.27,17,21,4,42,154,193,247,18.17,11.04,8.81,9.41,35,53,56,26,129,14,17,0,0,3,209,381,-172
"Dean Kukan","19-20","CBJ","D",33,527.12,1,3,1,5,51,67,90,1.82,1.96,1.49,2.72,28,14,7,24,43,6,2,0,0,-4,0,0,0
"Dean Kukan","20-21","CBJ","D",35,496.62,1,1,3,5,29,36,50,0.62,3.45,2.78,1.72,38,17,6,36,36,5,4,0,0,-1,0,0,0
"Dean Kukan","21-22","CBJ","D",41,667.98,3,1,7,11,41,56,76,2.12,7.32,5.36,3.79,39,14,9,43,46,8,5,0,0,-3,0,0,0
"Denis Gurianov","19-20","DAL","R",64,831.08,20,5,4,29,132,190,250,14.61,15.15,10.53,7.69,18,25,26,63,41,5,12,1,1,7,0,0,0
"Denis Gurianov","20-21","DAL","R",55,871.8,12,10,8,30,130,181,251,12.86,9.23,6.63,7.1,12,29,18,63,39,8,10,1,1,2,0,1,-1
"Denis Gurianov","21-22","DAL","R",73,1035.52,11,13,7,31,144,199,281,13.57,7.64,5.53,6.82,32,46,12,67,52,8,8,0,0,0,0,0,0
"Denis Malgin","19-20","FLA/TOR","C",44,527.58,4,6,2,12,50,73,97,6.49,8,5.48,8.89,16,17,26,35,39,7,8,0,0,1,65,98,-33
"Dennis Cholowski","19-20","DET","D",36,691.97,2,2,4,8,51,76,101,2.21,3.92,2.63,2.91,35,21,4,15,39,3,3,0,0,0,0,0,0
"Dennis Cholowski","20-21","DET","D",16,254.35,1,2,0,3,10,15,22,0.4,10,6.67,2.67,18,6,3,5,9,2,0,0,0,-2,0,0,0
"Dennis Cholowski","21-22","SEA/WSH","D",11,173.95,0,0,3,3,11,20,33,0.5,0,0,2.5,13,5,1,5,7,1,2,0,0,1,0,0,0
"Dennis Gilbert","19-20","CHI","D",21,329.82,1,0,2,3,12,15,19,0.31,8.33,6.67,2.07,33,4,2,74,41,4,3,4,4,-1,0,0,0
"Derek Forbort","19-20","CGY/L.A","D",20,356.25,0,0,1,1,22,36,55,0.62,0,0,1.72,30,16,2,35,33,2,0,0,0,-2,0,0,0
"Derek Forbort","20-21","WPG","D",56,1161.57,2,4,6,12,67,101,174,1.86,2.99,1.98,1.84,115,54,19,80,111,10,1,1,1,-9,0,0,0
"Derek Forbort","21-22","BOS","D",76,1377.13,4,3,7,14,64,90,132,1.83,6.25,4.44,2.03,100,32,15,133,135,15,12,2,2,-3,0,0,0
"Derek Grant","19-20","ANA/PHI","C",56,779.11,15,8,2,25,94,128,152,13.74,15.96,11.72,10.73,25,11,20,54,53,10,6,2,2,-4,358,336,22
"Derek Grant","20-21","ANA","C",46,669.97,6,4,5,15,66,97,122,5.85,9.09,6.19,6.03,40,12,9,65,34,10,6,1,1,-4,289,277,12
"Derek Grant","21-22","ANA","C",71,1016.27,15,9,5,29,117,155,193,14.19,12.82,9.68,9.15,49,17,21,69,38,6,3,1,1,-3,204,216,-12
"Derek Ryan","19-20","CGY","C",68,989.23,10,11,8,29,103,137,170,10.72,9.71,7.3,7.82,34,26,34,12,51,5,7,0,0,2,383,349,34
"Derek Ryan","20-21","CGY","C",43,511.3,2,8,3,13,37,60,70,5.29,5.41,3.33,8.82,21,16,20,13,35,8,14,0,0,6,153,141,12
"Derek Ryan","21-22","EDM","C",75,857.32,10,7,5,22,72,95,118,8.21,13.89,10.53,8.64,38,15,26,38,70,4,6,0,0,2,286,226,60
"Derek Stepan","19-20","ARI","C",70,1234.95,10,8,10,28,158,212,258,13.99,6.33,4.72,6.6,54,28,38,43,66,8,15,0,0,7,569,628,-59
"Derek Stepan","20-21","OTT","C",20,301.28,1,3,2,6,44,57,70,3.43,2.27,1.75,6.02,16,6,10,25,15,4,1,0,0,-3,130,130,0
"Derek Stepan","21-22","CAR","C",58,626.05,9,6,4,19,96,124,145,10.28,9.38,7.26,8.29,25,13,22,29,50,7,4,0,0,-3,248,196,52
"Derick Brassard","19-20","NYI","C",66,903.98,10,8,14,32,110,136,182,10.85,9.09,7.35,7.98,24,40,26,115,64,8,5,0,0,-3,197,160,37
"Derick Brassard","20-21","ARI","C",53,784.17,8,5,7,20,67,101,130,8.33,11.94,7.92,8.25,5,19,17,80,25,6,8,0,0,2,229,206,23
"Derick Brassard","21-22","EDM/PHI","C",46,593.79,8,7,4,19,62,70,91,6.49,12.9,11.43,9.27,6,10,10,82,38,8,5,0,0,-3,169,161,8
"Derrick Pouliot","21-22","SEA/VGK","D",11,170.52,0,3,1,4,8,17,30,0.46,0,0,2.71,14,10,3,10,7,2,0,0,0,-2,0,0,0
"Deryk Engelland","19-20","VGK","D",49,860.27,1,2,3,6,59,81,116,1.61,1.69,1.23,1.99,86,17,15,114,88,11,5,1,1,-6,0,0,0
"Devin Shore","19-20","ANA/CBJ","C",45,524.07,5,5,2,12,50,69,79,5.15,10,7.25,7.46,14,8,12,52,47,4,4,0,0,0,47,53,-6
"Devin Shore","20-21","EDM","C",38,415.03,5,3,1,9,27,34,40,3.64,18.52,14.71,10.71,26,8,15,73,37,3,1,0,0,-2,57,51,6
"Devin Shore","21-22","EDM","C",49,468.52,5,4,2,11,36,52,65,4.02,13.89,9.62,7.73,21,8,15,67,51,5,3,0,0,-2,102,112,-10
"Devon Toews","19-20","NYI","D",68,1394.83,6,7,15,28,122,161,259,5.86,4.92,3.73,3.64,75,57,32,55,43,8,4,0,0,-4,0,0,0
"Devon Toews","20-21","COL","D",53,1312.32,9,9,13,31,121,162,221,5.6,7.44,5.56,3.46,87,19,32,44,34,8,12,0,0,4,0,0,0
"Devon Toews","21-22","COL","D",66,1674.6,13,11,33,57,158,202,267,8.47,8.23,6.44,4.19,85,34,45,54,40,10,5,0,0,-5,0,0,0
"Dillon Dube","19-20","CGY","C",45,570.62,6,5,5,16,60,81,109,6.5,10,7.41,8.02,13,16,17,59,62,3,8,0,0,5,0,2,-2
"Dillon Dube","20-21","CGY","C",51,695.52,11,6,5,22,84,119,156,8.67,13.1,9.24,7.29,14,32,15,59,81,10,10,0,0,0,9,8,1
"Dillon Dube","21-22","CGY","C",79,1014.28,18,7,7,32,143,188,228,15,12.59,9.57,7.98,15,23,24,87,134,10,15,0,0,5,92,102,-10
"Dillon Heatherington","21-22","OTT","D",9,111,0,0,0,0,4,6,9,0.43,0,0,7.17,2,2,0,18,7,1,0,1,1,-1,0,0,0
"Dmitrij Jaskin","21-22","ARI","R",12,177.42,0,1,0,1,23,33,43,2.1,0,0,6.36,9,8,3,47,18,2,0,0,1,-1,5,5,0
"Dmitry Kulikov","19-20","WPG","D",51,1020.98,2,3,5,10,54,86,141,2.31,3.7,2.33,2.69,77,55,16,104,99,16,5,0,0,-11,0,0,0
"Dmitry Kulikov","20-21","EDM/N.J","D",48,920.05,0,1,3,4,51,71,110,1.76,0,0,2.48,49,31,8,93,79,14,2,0,0,-12,0,0,0
"Dmitry Kulikov","21-22","MIN","D",80,1456.5,7,10,5,22,74,112,168,4.76,9.46,6.25,4.25,103,31,16,100,127,17,15,1,1,-2,0,0,0
"Dmitry Orlov","19-20","WSH","D",69,1530.03,4,15,8,27,105,158,224,5.48,3.81,2.53,3.47,82,65,49,106,57,18,11,0,0,-7,0,0,0
"Dmitry Orlov","20-21","WSH","D",51,1010.5,8,6,8,22,83,118,164,3.56,9.64,6.78,3.02,50,25,30,87,51,10,4,0,0,-6,0,0,0
"Dmitry Orlov","21-22","WSH","D",76,1593.17,12,14,9,35,127,174,238,6.65,9.45,6.9,3.82,94,44,37,124,66,22,17,0,0,-5,0,0,0
"Dmytro Timashov","19-20","DET/TOR","L",44,375.39,4,3,2,9,37,50,66,2.55,10.81,8,5.1,11,7,5,93,38,8,7,0,0,-1,0,0,0
"Dominic Toninato","19-20","FLA","C",46,512.53,4,4,3,11,38,53,65,5.44,10.53,7.55,10.26,28,13,17,57,53,11,7,1,1,-4,128,144,-16
"Dominic Toninato","21-22","WPG","C",77,646.68,7,6,1,14,44,64,88,6.6,15.91,10.94,10.31,32,10,11,92,53,11,5,0,0,-6,87,118,-31
