"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Ben Chiarot","20-21","MTL","D",41,893.28,1,4,2,7,81,111,157,3.2,1.23,0.9,2.88,60,51,9,77,84,15,3,4,4,-12,0,0,0
"Ben Chiarot","21-22","FLA/MTL","D",74,1690.1,9,11,6,26,143,176,267,5.62,6.29,5.11,3.19,130,69,20,157,106,24,6,0,0,-18,0,0,0
"Ben Harpur","20-21","NSH","D",34,558.65,0,3,4,7,33,45,57,0.82,0,0,1.82,29,28,9,44,42,6,4,1,1,-2,0,0,0
"Ben Harpur","21-22","NSH","D",19,261.03,0,0,1,1,13,24,33,0.47,0,0,1.96,21,12,0,36,31,6,2,3,3,-4,0,0,0
"Ben Hutton","19-20","L.A","D",65,1186.98,4,5,7,16,114,153,224,3.47,3.51,2.61,2.27,76,41,12,51,84,7,3,0,0,-4,0,0,0
"Ben Hutton","20-21","ANA/TOR","D",38,701.44,1,1,3,5,54,68,101,2.28,1.85,1.47,3.35,39,22,8,44,62,3,2,1,1,-1,0,0,0
"Ben Hutton","21-22","VGK","D",58,897.22,3,6,4,13,78,103,166,3.15,3.85,2.91,3.06,72,19,16,49,143,6,4,4,4,-2,0,0,0
"Ben Thomas","20-21","T.B","D",5,71.18,0,0,0,0,3,4,7,0.24,0,0,6,4,1,1,4,20,0,0,0,0,0,0,0,0
"Benoit-Olivier Groulx","21-22","ANA","C",18,197.9,1,1,1,3,17,21,31,2.24,5.88,4.76,10.67,6,3,4,19,20,1,0,0,0,-1,38,45,-7
"Blake Coleman","19-20","N.J/T.B","C",66,1103.38,21,5,6,32,200,252,306,20.47,10.5,8.33,8.12,46,21,48,191,65,23,18,0,0,-5,47,102,-55
"Blake Coleman","20-21","T.B","C",55,850.58,14,7,10,31,122,154,183,12.79,11.48,9.09,8.31,20,19,25,109,65,16,19,1,1,3,2,7,-5
