"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Chandler Stephenson","19-20","VGK","C",40,44.27,20.34,25.49,26.39,21.17,26.57,2.18,8.54,10.33,30.19,14.09,39.31,15.06,56.07,1.4,3.87,-6.36,-19.86,-25.22,-41.01,-2.47,21.1,71.71
"Chandler Stephenson","19-20","WSH","C",24,34.43,35.18,27.57,23.79,22.23,21.76,1.08,1.99,8.57,22.51,8.58,27.48,10.76,37.64,0.57,2.05,-0.91,-13.94,-18.9,-26.88,-1.48,12.6,91.16
"Chandler Stephenson","20-21","VGK","C",50,70.48,68.26,29.74,22.4,18.48,25.61,2,0.93,16.31,38.53,19.24,66.67,21.4,94.37,1.78,5.17,1.07,-22.22,-47.43,-72.97,-3.39,12.26,97.59
"Chandler Stephenson","21-22","VGK","C",78,120.33,12.95,17.8,15.7,13.33,12.56,2.37,15.93,26.36,121.73,31.23,167.65,33.23,216.13,2.71,18.86,-13.56,-95.37,-136.42,-182.9,-16.15,8.99,86.91
"Charlie Coyle","19-20","BOS","C",69,62.75,40.82,32.11,27.45,26.37,30.78,2.18,3.16,18.52,39.16,22.99,60.77,27.28,76.18,2.05,4.61,-0.98,-20.64,-37.78,-48.9,-2.56,11.77,91.93
"Charlie Coyle","20-21","BOS","C",51,96.12,10.09,12.77,11.65,10.21,11.14,1.01,9,11.08,75.69,13.35,101.23,14.61,128.55,1.02,8.14,-7.99,-64.61,-87.88,-113.94,-7.12,9.12,88.11
"Charlie Coyle","21-22","BOS","C",82,133.52,0,12.16,13.46,12.37,10.75,0,16.07,16.43,118.7,22.96,147.59,27.86,197.36,1.6,13.28,-16.07,-102.27,-124.63,-169.5,-11.68,0,86.46
"Charlie McAvoy","19-20","BOS","D",66,121.4,28.48,25.82,21.98,19.18,19.21,3.66,9.19,30.46,87.49,34.38,122.01,38.62,162.78,2.59,10.89,-5.53,-57.03,-87.63,-124.16,-8.3,12.02,89.5
"Charlie McAvoy","20-21","BOS","D",51,118.2,19.84,27.85,22.97,18.84,19.71,1.93,7.8,28.43,73.64,30.49,102.26,31.72,136.63,2.02,8.23,-5.87,-45.21,-71.77,-104.91,-6.21,6.79,89.41
"Charlie McAvoy","21-22","BOS","D",78,164.8,12.02,16.16,15.5,13.18,10.33,2.07,15.15,30.53,158.35,38.62,210.53,41.68,274.58,2.32,20.14,-13.08,-127.82,-171.91,-232.9,-17.82,6.78,90.43
"Chris Kreider","20-21","NYR","C",49,25.05,0,19.25,26.24,21.73,20.95,0,2.94,4.2,17.62,7.31,20.55,7.36,26.51,0.53,2,-2.94,-13.42,-13.24,-19.15,-1.47,0,83.31
"Chris Kreider","21-22","NYR","C/L",81,117.65,16.7,16.52,16.18,15.32,10.03,2.94,14.66,21.17,107,28.23,146.28,32.89,181.85,1.6,14.35,-11.72,-85.83,-118.05,-148.96,-12.75,13.89,86.3
