"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aleksander Barkov","21-22","FLA","C",67,234.62,91.58,85.62,86.37,87.95,90.46,45.12,4.15,234.9,39.46,318.83,50.3,417.7,57.25,33.08,3.49,40.97,195.44,268.53,360.45,29.59,19.21,89.48
"Alex Barabanov","20-21","S.J/TOR","L",22,29.56,100,85.14,83.43,79.45,90.27,2.01,0,22.51,3.93,30.16,5.99,38.65,10,2.97,0.32,2.01,18.58,24.17,28.65,2.65,8.93,100
"Alex Barabanov","21-22","S.J","L",66,128.5,86.98,78.77,78.73,80.55,81.66,13.36,2,107.47,28.97,136.48,36.88,184.34,44.52,12.2,2.74,11.36,78.5,99.6,139.82,9.46,12.43,93.1
"Alex Barre-Boulet","20-21","T.B","C",15,40.92,79.8,88.38,91.27,92.97,91.17,3.91,0.99,39.02,5.13,53.56,5.12,67.97,5.14,4.75,0.46,2.92,33.89,48.44,62.83,4.29,10.02,80.7
"Alex Barre-Boulet","21-22","SEA/T.B","C",16,27.53,100,63.8,68.85,70.66,67.87,2,0,16.3,9.25,22.61,10.23,31.72,13.17,2.07,0.98,2,7.05,12.38,18.55,1.09,12.27,100
"Alex Carrier","21-22","NSH","D",77,77.2,90.54,77.54,80.03,83.38,86.03,8.9,0.93,50.21,14.54,69.2,17.27,91.99,18.33,6.16,1,7.97,35.67,51.93,73.66,5.16,17.73,93.6
"Alex Chiasson","19-20","EDM","R",64,142.2,90.89,83.91,87.33,88.97,92.67,31.82,3.19,136.75,26.23,187.07,27.13,247.65,30.7,21.75,1.72,28.63,110.52,159.94,216.95,20.03,23.27,87.84
"Alex Chiasson","20-21","EDM","R",44,132.25,85.99,86.15,88.2,88.99,92.03,26.39,4.3,164.84,26.51,214.5,28.71,275.25,34.04,23.56,2.04,22.09,138.33,185.79,241.21,21.52,16.01,83.78
"Alex Chiasson","21-22","VAN","R",66,124.47,100,86.31,89.22,91.52,89.97,17.79,0,127.45,20.21,175.54,21.2,228.98,21.21,18.47,2.06,17.79,107.24,154.34,207.77,16.41,13.96,100
"Alex Debrincat","19-20","CHI","R",69,239.75,82.29,84.78,86.53,88.89,89.27,27.84,5.99,232.19,41.67,312.36,48.62,420.96,52.64,31.02,3.73,21.85,190.52,263.74,368.32,27.29,11.99,85.63
"Alex Debrincat","20-21","CHI","R",52,199.07,85.56,76.65,78.74,81.25,80.72,23.4,3.95,158.02,48.14,202.05,54.54,271.18,62.57,21.69,5.18,19.45,109.88,147.51,208.61,16.51,14.81,91.79
"Alex Debrincat","21-22","CHI","L/R",82,291.13,91.07,86.44,87.22,88.37,91.51,38.64,3.79,271.11,42.54,345.32,50.58,455.44,59.91,34.05,3.16,34.85,228.57,294.74,395.53,30.89,14.25,91.09
"Alex Edler","19-20","VAN","D",58,70.53,91.88,83.62,87.01,86.99,94.99,9.85,0.87,45.42,8.9,65.1,9.72,90.83,13.59,6.83,0.36,8.98,36.52,55.38,77.24,6.47,21.69,90.22
"Alex Formenton","21-22","OTT","L",78,66.65,100,79.37,83.78,84.25,90.45,0.87,0,41.31,10.74,64.61,12.51,84.33,15.77,5.68,0.6,0.87,30.57,52.1,68.56,5.08,2.11,100
"Alex Galchenyuk","19-20","MIN/PIT","C",59,97.1,82.66,77.65,79.7,83.29,83.6,9.15,1.92,72.04,20.73,100.8,25.67,137.78,27.64,8.92,1.75,7.23,51.31,75.13,110.14,7.17,12.7,90.74
"Alex Galchenyuk","20-21","OTT/TOR","C",33,32.45,65.26,95.05,94.03,95.71,97.68,1.86,0.99,36.26,1.89,43.03,2.73,60.93,2.73,3.79,0.09,0.87,34.37,40.3,58.2,3.7,5.13,47.62
"Alex Galchenyuk","21-22","ARI","C",55,49.37,63.8,72.22,70.15,68.93,80.79,2.08,1.18,25.71,9.89,31.65,13.47,37.73,17.01,3.28,0.78,0.9,15.82,18.18,20.72,2.5,8.09,88.07
"Alex Goligoski","19-20","ARI","D",68,133.62,93.9,84.5,85.31,87.36,87.67,15.54,1.01,104.85,19.23,139.01,23.93,178.38,25.8,11.23,1.58,14.53,85.62,115.08,152.58,9.65,14.82,94.75
"Alex Goligoski","20-21","ARI","D",55,53.82,100,78.31,78.21,81.91,90.52,8.35,0,42.86,11.87,57.19,15.93,76.79,16.96,5.54,0.58,8.35,30.99,41.26,59.83,4.96,19.48,100
"Alex Goligoski","21-22","MIN","D",71,85.45,77.55,74.38,76.67,79.16,81.01,7.15,2.07,73.05,25.16,100.78,30.66,134.04,35.28,9.51,2.23,5.08,47.89,70.12,98.76,7.28,9.79,91.77
"Alex Iafallo","19-20","L.A","L",68,171.82,100,87.38,89.3,91.16,95.54,19.85,0,182.99,26.42,252.4,30.23,322.56,31.29,21.62,1.01,19.85,156.57,222.17,291.27,20.61,10.85,100
"Alex Iafallo","20-21","L.A","L",55,154.08,92.47,82.55,86.7,89.89,91.51,24.55,2,155.77,32.93,220.02,33.74,300.57,33.81,21.34,1.98,22.55,122.84,186.28,266.76,19.36,15.76,93.93
"Alex Iafallo","21-22","L.A","L",79,214.47,81.24,84.34,87.08,89.22,87.02,17.36,4.01,209.81,38.95,283.66,42.07,389.72,47.1,25.67,3.83,13.35,170.86,241.59,342.62,21.84,8.27,89.7
"Alex Kerfoot","19-20","TOR","C",62,82.55,77.04,82.11,81.15,84.05,77.32,6.98,2.08,61.81,13.47,80.39,18.67,107.58,20.42,7.09,2.08,4.9,48.34,61.72,87.16,5.01,11.29,84.56
"Alex Kerfoot","20-21","TOR","C",55,33.27,100,88.63,90.07,91.61,93.12,6.14,0,32.42,4.16,45.37,5,54.7,5.01,4.74,0.35,6.14,28.26,40.37,49.69,4.39,18.94,100
"Alex Killorn","19-20","T.B","C",67,174.75,86.09,80.24,83.06,84.09,86.04,25.56,4.13,166.37,40.96,241.57,49.28,308.61,58.4,20.89,3.39,21.43,125.41,192.29,250.21,17.5,15.36,89.92
"Alex Killorn","20-21","T.B","C",55,167.98,92.91,83.38,86.44,88.33,87.99,28.56,2.18,154.43,30.79,211.07,33.1,273.49,36.14,19.27,2.63,26.38,123.64,177.97,237.35,16.64,18.49,92.92
"Alex Killorn","21-22","T.B","C/L",82,262.27,91.49,83.9,85.54,86.88,88.18,42.98,4,270.96,51.98,371.51,62.79,458.34,69.24,37.36,5.01,38.98,218.98,308.72,389.1,32.35,15.86,92.3
"Alex Newhook","21-22","COL","C",70,97.58,83.1,73.66,78.1,82.77,82.93,10.77,2.19,60.32,21.57,90.46,25.36,126.84,26.4,7.14,1.47,8.58,38.75,65.1,100.44,5.67,17.85,89.85
"Alex Nylander","19-20","CHI","L",64,74.57,74.42,74.73,78.66,84,84,2.88,0.99,44.84,15.16,59.71,16.2,85.28,16.24,5.04,0.96,1.89,29.68,43.51,69.04,4.08,6.42,93.47
"Alex Ovechkin","19-20","WSH","L",67,326.03,80.58,81.82,84.38,86.69,88.13,37.31,8.99,292.41,64.96,410.3,75.98,520.93,79.96,40.25,5.42,28.32,227.45,334.32,440.97,34.83,12.76,86.16
"Alex Ovechkin","20-21","WSH","L",44,184.8,85.09,88.11,89.21,90.55,92.95,29.4,5.15,186.11,25.11,263.35,31.85,325.02,33.91,22.4,1.7,24.25,161,231.5,291.11,20.7,15.8,79.49
"Alex Ovechkin","21-22","WSH","L",75,359.87,87.64,82.82,83.72,85.93,90.29,44.82,6.32,351.87,73,472.26,91.85,611.58,100.11,44.75,4.81,38.5,278.87,380.41,511.47,39.94,12.74,91.34
"Alex Pietrangelo","19-20","STL","D",69,217.15,91.78,80.84,83.56,86.74,84.27,34.82,3.12,214.66,50.89,292.97,57.63,384.36,58.76,28.08,5.24,31.7,163.77,235.34,325.6,22.84,16.22,93.87
"Alex Pietrangelo","20-21","VGK","D",41,107.9,88.44,81.92,84.64,84.98,92.55,8.26,1.08,103.31,22.8,151.34,27.47,202.73,35.83,15.53,1.25,7.18,80.51,123.87,166.9,14.28,8,95.26
"Alex Pietrangelo","21-22","VGK","D",78,172.93,93.4,84.04,84.47,84.08,90.68,16.7,1.18,171.15,32.5,233.79,42.99,288.61,54.66,24.7,2.54,15.52,138.65,190.8,233.95,22.16,9.76,96.37
