"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Brendan Gallagher","19-20","MTL","R",56,119.32,78.88,77.92,76.52,80.7,83.65,6.01,1.61,48.4,13.72,60.34,18.51,83.25,19.91,5.51,1.08,4.4,34.68,41.83,63.34,4.43,12.42,88.27
"Brendan Gallagher","20-21","MTL","R",34,67.78,89.59,89.96,92.17,91.01,92.81,8.22,0.96,54.59,6.09,71.88,6.11,90.64,8.95,6.75,0.52,7.27,48.5,65.77,81.69,6.22,15.06,84.3
"Brendan Gallagher","21-22","MTL","R",55,131.53,68.66,80.11,82.56,83.47,86.99,4.04,1.84,45.1,11.2,59.39,12.55,84.39,16.71,6.19,0.93,2.19,33.9,46.84,67.68,5.26,8.95,83.54
"Brendan Leipsic","19-20","WSH","L",60,26.37,65.71,64.79,74.01,77.89,66.86,4.71,2.46,43.16,23.46,72.9,25.6,90.17,25.6,5.32,2.64,2.25,19.7,47.3,64.57,2.68,10.91,89.52
"Brendan Lemieux","19-20","NYR","L",58,75.58,88.27,69.59,74.88,75.07,80.16,7.05,0.94,41.03,17.93,57.97,19.45,75.7,25.13,5.71,1.41,6.11,23.1,38.52,50.57,4.29,17.18,94.77
"Brendan Lemieux","20-21","L.A/NYR","L",48,24.83,0,56.32,62.41,71.16,71.17,0,2.44,22.4,17.37,39.99,24.09,59.4,24.07,3.82,1.55,-2.44,5.03,15.9,35.33,2.27,0,85.95
"Brendan Perlini","19-20","CHI/DET","L",38,48.88,60.45,71.12,74.47,78.13,82.69,3.62,2.37,38.72,15.72,53.85,18.46,71.06,19.89,5.81,1.22,1.25,22.99,35.39,51.17,4.59,9.35,84.93
"Brent Burns","19-20","S.J","D",69,185.85,81.15,82.42,83.71,85.48,86.66,6.07,1.41,59.24,12.64,78.98,15.37,105.54,17.92,7.57,1.17,4.66,46.61,63.61,87.62,6.41,10.25,88.83
"Brent Burns","20-21","S.J","D",53,145.3,86.17,81.89,85.07,85.49,88.92,4.99,0.8,52.07,11.52,70.41,12.36,91.3,15.5,7.06,0.88,4.19,40.55,58.06,75.8,6.18,9.59,93.04
"Brent Burns","21-22","S.J","D",78,216.32,81.74,81.57,82.7,83.9,89.92,7.52,1.68,56.98,12.87,78.43,16.41,102.41,19.65,7.39,0.83,5.84,44.1,62.02,82.76,6.57,13.2,86.94
"Brent Seabrook","19-20","CHI","D",32,22.93,100,90.56,88.69,90.96,87.57,5.42,0,54.19,5.65,69.37,8.84,89.57,8.9,7.93,1.13,5.42,48.54,60.52,80.67,6.8,10,100
"Brett Connolly","19-20","FLA","R",69,90.8,89.9,84.77,85.54,86.13,95.75,5.11,0.57,47.29,8.5,58.44,9.88,73.79,11.89,5.36,0.24,4.54,38.8,48.56,61.9,5.12,10.81,93.23
