"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Adam Henrique","21-22","ANA","C",58,847.07,49.81,49.49,49.14,49.64,52.33,3.24,3.26,30.69,31.33,42.64,44.13,56.46,57.27,2.96,2.7,-0.02,-0.64,-1.49,-0.81,0.26,10.55,89.58
"Adam Larsson","19-20","EDM","D",49,871.58,45.61,48.29,49.07,47.54,48.28,2.15,2.57,27.04,28.96,39.1,40.58,50.88,56.15,2.26,2.42,-0.41,-1.91,-1.48,-5.27,-0.16,7.97,91.13
"Adam Larsson","20-21","EDM","D",56,943.02,49.04,47.68,48.94,46.77,50.28,1.86,1.93,23.46,25.74,34.09,35.57,45.93,52.27,1.95,1.93,-0.07,-2.28,-1.48,-6.34,0.02,7.93,92.49
"Adam Larsson","21-22","SEA","D",82,1582.8,39.92,47.55,48.59,49.75,44.68,2.19,3.29,25.79,28.45,37.16,39.32,51.02,51.54,2,2.47,-1.1,-2.66,-2.16,-0.52,-0.48,8.48,88.44
"Adam Lowry","19-20","WPG","L",49,603.53,43.56,46.26,44.84,45.58,40.13,1.47,1.91,26.18,30.42,35.43,43.59,47.25,56.4,1.72,2.57,-0.44,-4.24,-8.16,-9.16,-0.85,5.63,93.72
"Adam Lowry","20-21","WPG","L",52,623.15,54.52,46.98,47.3,47.96,46.52,2.53,2.11,25.81,29.12,37.18,41.42,50.13,54.4,1.99,2.29,0.42,-3.32,-4.24,-4.27,-0.3,9.8,92.76
"Adam Lowry","21-22","WPG","C/L",79,952.25,38.98,47.68,48.58,48,51,1.24,1.94,28.41,31.17,40.04,42.39,52.1,56.43,2.51,2.42,-0.7,-2.76,-2.34,-4.33,0.1,4.35,93.79
"Adam Pelech","19-20","NYI","D",38,678.28,47.97,45.74,45.7,44.95,49.99,2.19,2.37,25.79,30.59,35.4,42.05,48.73,59.69,2.25,2.25,-0.18,-4.81,-6.65,-10.96,0,8.49,92.24
"Adam Pelech","20-21","NYI","D",56,1023.05,57.67,54.45,53.49,53.06,60.79,2.64,1.93,30.8,25.77,41.18,35.8,54.49,48.2,2.67,1.72,0.7,5.03,5.38,6.28,0.95,8.56,92.49
"Adam Pelech","21-22","NYI","D",78,1437.55,56.33,50.89,50.98,50.67,50.53,2.7,2.09,30.91,29.83,41.8,40.2,55.17,53.72,2.58,2.52,0.61,1.08,1.6,1.45,0.05,8.74,92.98
"Adam Ruzicka","21-22","CGY","C",28,279,78.17,58.02,56.39,57.31,47.21,3.03,0.85,34.62,25.05,48.4,37.43,62.83,46.8,2.16,2.42,2.18,9.58,10.97,16.03,-0.26,8.74,96.63
"Adrian Kempe","19-20","L.A","L",69,841.02,41.72,55.64,54.99,54.7,53.13,1.5,2.1,32.86,26.2,45.67,37.38,59.97,49.67,2.54,2.24,-0.6,6.66,8.28,10.3,0.3,4.57,91.99
"Adrian Kempe","20-21","L.A","L",56,685.12,38.3,45.17,45.48,46.36,43.64,1.86,3,25.45,30.9,36.08,43.25,48.75,56.42,2.14,2.77,-1.14,-5.45,-7.17,-7.67,-0.62,7.32,90.29
"Adrian Kempe","21-22","L.A","C/L",78,1072.82,47.13,54.76,54.72,54.38,51.75,2.48,2.78,35,28.91,47.19,39.05,62.22,52.21,2.96,2.76,-0.3,6.09,8.13,10.02,0.2,7.07,90.4
"Alan Quine","19-20","CGY","C",9,87.4,33.44,51.43,50.94,52.76,55.91,0.69,1.38,32.7,30.88,47.86,46.09,66.84,59.84,2.99,2.35,-0.69,1.82,1.76,7,0.63,2.12,95.53
"Alec Martinez","19-20","L.A/VGK","D",51,919.82,48.54,51.27,51.26,50.42,52.05,2.62,2.78,30.95,29.41,44.37,42.18,58.75,57.77,2.57,2.37,-0.16,1.54,2.19,0.98,0.2,8.48,90.54
