"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Brendan Smith","21-22","CAR","D",45,48,17.31,34.18,31.02,30.3,39.58,1.24,5.91,15.9,30.62,17.41,38.71,21.68,49.86,2.35,3.59,-4.68,-14.72,-21.3,-28.19,-1.24,7.78,80.69
"Brenden Dillon","19-20","S.J/WSH","D",69,146.48,19.53,15.64,12.89,12.46,9.44,1.22,5.05,9.04,48.74,10.24,69.22,11.77,82.75,0.71,6.8,-3.82,-39.7,-58.98,-70.97,-6.09,13.55,89.65
"Brenden Dillon","20-21","WSH","D",56,101.33,16.67,24.7,21.18,17.27,23.31,0.7,3.49,10.36,31.57,13.87,51.62,15.64,74.92,1.34,4.42,-2.79,-21.22,-37.74,-59.28,-3.08,6.75,88.93
"Brenden Dillon","21-22","WPG","D",76,137.1,11.37,21.45,18.89,17.51,19.02,1.39,10.81,17.18,62.92,19.79,84.96,22.11,104.12,1.95,8.29,-9.42,-45.74,-65.17,-82.01,-6.35,8.08,82.82
"Brent Burns","19-20","S.J","D",70,173.02,7.08,13.14,12.56,11.23,6.75,0.3,3.96,7.83,51.72,9.52,66.25,10.47,82.76,0.5,6.85,-3.66,-43.89,-56.74,-72.29,-6.35,3.85,92.34
"Brent Burns","20-21","S.J","D",55,158.57,10.03,15.21,14.53,14.07,6.46,0.76,6.79,10.01,55.82,13.07,76.89,16.25,99.26,0.5,7.23,-6.03,-45.8,-63.82,-83.02,-6.73,7.56,87.84
"Brent Burns","21-22","S.J","D",79,223.32,9.69,19.32,15,12.39,5.55,0.71,6.66,13.79,57.59,14.55,82.46,15.33,108.34,0.47,7.96,-5.94,-43.8,-67.9,-93.01,-7.49,5.18,88.44
"Brent Seabrook","19-20","CHI","D",32,48.13,12.03,16.84,17.01,14.95,22.86,1.35,9.85,10.48,51.77,12.94,63.14,15.35,87.29,1.53,5.17,-8.5,-41.29,-50.2,-71.94,-3.64,12.84,80.98
"Brett Howden","19-20","NYR","C",69,135.62,8.21,11.72,8.7,8.03,3.32,0.88,9.9,8.72,65.68,8.72,91.42,10.01,114.69,0.3,8.76,-9.01,-56.97,-82.7,-104.68,-8.45,10.15,84.93
"Brett Howden","20-21","NYR","C",41,83.97,0,6.73,8.34,7.49,7.72,0,8.89,3.49,48.32,6.57,72.26,8.12,100.24,0.57,6.83,-8.89,-44.84,-65.69,-92.13,-6.26,0,81.61
