"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Adam Larsson","19-20","EDM","D",49,871.58,45.61,48.29,49.07,47.54,48.28,2.15,2.57,27.04,28.96,39.1,40.58,50.88,56.15,2.26,2.42,-0.41,-1.91,-1.48,-5.27,-0.16,7.97,91.13
"Adam Larsson","20-21","EDM","D",56,943.02,49.04,47.68,48.94,46.77,50.28,1.86,1.93,23.46,25.74,34.09,35.57,45.93,52.27,1.95,1.93,-0.07,-2.28,-1.48,-6.34,0.02,7.93,92.49
"Adam Larsson","21-22","SEA","D",82,1583,39.92,47.59,48.64,49.79,44.75,2.19,3.29,25.79,28.4,37.19,39.27,51.05,51.49,2,2.47,-1.1,-2.62,-2.09,-0.44,-0.47,8.48,88.42
"Adam Lowry","19-20","WPG","L",49,603.53,43.56,46.26,44.84,45.58,40.13,1.47,1.91,26.18,30.42,35.43,43.59,47.25,56.4,1.72,2.57,-0.44,-4.24,-8.16,-9.16,-0.85,5.63,93.72
"Adam Lowry","20-21","WPG","L",52,623.15,54.52,46.98,47.3,47.96,46.52,2.53,2.11,25.81,29.12,37.18,41.42,50.13,54.4,1.99,2.29,0.42,-3.32,-4.24,-4.27,-0.3,9.8,92.76
"Adam Lowry","21-22","WPG","C/L",79,951.05,38.98,47.73,48.62,48.06,51.01,1.24,1.94,28.44,31.14,40.09,42.38,52.17,56.37,2.52,2.42,-0.7,-2.7,-2.28,-4.2,0.1,4.35,93.77
"Adam Pelech","19-20","NYI","D",38,678.28,47.97,45.74,45.7,44.95,49.99,2.19,2.37,25.79,30.59,35.4,42.05,48.73,59.69,2.25,2.25,-0.18,-4.81,-6.65,-10.96,0,8.49,92.24
"Adam Pelech","20-21","NYI","D",56,1023.05,57.67,54.45,53.49,53.06,60.79,2.64,1.93,30.8,25.77,41.18,35.8,54.49,48.2,2.67,1.72,0.7,5.03,5.38,6.28,0.95,8.56,92.49
"Adam Pelech","21-22","NYI","D",78,1437.67,56.33,50.99,51.07,50.72,50.71,2.7,2.09,30.91,29.71,41.79,40.04,55.17,53.6,2.57,2.5,0.61,1.2,1.76,1.57,0.07,8.74,92.95
"Adam Ruzicka","21-22","CGY","C",28,278.85,78.17,58.02,56.39,57.31,47.21,3.03,0.85,34.64,25.06,48.42,37.45,62.86,46.83,2.16,2.42,2.18,9.58,10.97,16.04,-0.26,8.74,96.63
"Adrian Kempe","19-20","L.A","L",69,841.02,41.72,55.64,54.99,54.7,53.13,1.5,2.1,32.86,26.2,45.67,37.38,59.97,49.67,2.54,2.24,-0.6,6.66,8.28,10.3,0.3,4.57,91.99
"Adrian Kempe","20-21","L.A","L",56,685.12,38.3,45.17,45.48,46.36,43.64,1.86,3,25.45,30.9,36.08,43.25,48.75,56.42,2.14,2.77,-1.14,-5.45,-7.17,-7.67,-0.62,7.32,90.29
